1.000000000000000000e+00,1.339283380097402133e-10,1.916936010382118576e-19,2.672765154207315808e-20,3.223569500105696840e-17,1.593211269665807239e-15,4.327254236879147421e-19,1.573548691520543219e-14,7.918716206302585381e-15,6.512559060496987532e-17,1.055574661153971944e-14,2.339722581904703485e-16
2.544352401634816258e-08,1.428570148418071561e-01,2.081082782604191703e-07,4.796504501611601693e-09,2.643061998395935065e-09,6.616940836771444473e-12,6.069768586745559566e-09,9.541322437924885170e-08,5.061680848350569306e-07,1.808104474674911268e-10,4.512966702722007131e-09,2.393587559902852942e-08
2.878135284354460532e-14,1.374811323955021209e-04,9.990295171737670898e-01,7.988413926796056330e-06,1.331522803127427323e-08,2.802363376075422963e-13,1.849366840223076736e-11,1.827123341513470223e-08,8.045001886891611775e-10,8.411037555333678029e-08,1.751157663321123437e-09,4.409180798248257815e-10
2.362544048327510740e-18,7.824343475445071810e-08,4.651607332824270191e-13,9.999994039535522461e-01,5.648572581895550115e-11,3.755140246278403993e-18,4.972414014133822779e-20,1.345574606598232137e-11,1.671189120248939286e-12,1.824081150572950504e-17,9.542392815861406447e-15,5.994831909529596548e-13
1.265273441575232027e-10,1.521234884445935324e-03,1.454460250155387158e-11,4.020324906317540581e-10,9.893275499343872070e-01,1.753919832481187768e-06,2.923234660556772724e-06,5.000590135750826448e-06,1.314794008067110553e-05,8.255476302565512015e-08,4.424566668603802100e-07,4.960977548762457445e-07
3.413051785638998581e-10,2.253118357551613813e-07,1.713684194006546979e-14,1.880798807593343476e-16,1.254991222054968603e-09,9.999984502792358398e-01,6.731540880267061766e-10,3.710486345259722540e-12,3.232261680530257308e-11,3.856215000097584777e-11,6.389278754508065372e-13,4.058517411031914435e-12
4.737671366328299882e-11,7.710906830742500552e-07,4.442139101001885138e-08,1.746950430451740810e-13,1.039388752843706243e-08,4.924958444535443292e-12,9.999940395355224609e-01,4.020079558131328668e-08,2.530101406161833211e-10,4.664147106731020287e-12,4.629301031400245847e-07,5.029054506167085492e-08
4.979952561434686231e-10,4.487451331096943320e-06,3.844843280559340215e-13,2.107671398521304695e-10,2.090090323036974951e-09,1.777333807201613575e-14,2.396641773927399299e-10,6.816875934600830078e-01,3.182773888111114502e-01,1.738714104249083903e-06,9.398069096278049983e-07,9.483031817580922507e-07
2.211115024408627505e-08,2.349251278907108415e-07,1.777423008775258495e-08,4.499423565933885483e-13,3.988543255672993837e-07,3.740141529817719857e-09,1.454324092264869250e-06,1.011062267934903502e-04,9.939151406288146973e-01,5.558019969612360001e-03,3.677507047541439533e-04,5.446516661322675645e-05
3.603495421570764370e-15,1.942405264990963469e-11,3.010195911978819083e-11,1.210459633053809561e-15,5.635985775298557598e-11,2.901073233027638525e-15,7.674378493804923096e-12,1.190774945314387878e-08,1.453959271202620585e-06,9.999982118606567383e-01,2.336966105076498934e-07,6.521315754071110860e-08
9.175916027004404896e-09,1.125508759969306993e-06,7.336341241170885041e-06,7.260104553097335156e-07,5.629497991321841255e-06,3.814337290464209218e-09,1.830548571888357401e-04,1.898845221148803830e-05,3.081067698076367378e-04,2.815934596583247185e-03,9.900739192962646484e-01,6.578383967280387878e-03
1.723998943603533007e-09,7.252881584207671040e-08,1.011890304880580516e-07,1.007711691869417336e-09,8.038229637463700783e-09,1.263457654471222824e-12,1.315010422331397422e-06,2.424502270059747389e-07,6.374652912199962884e-07,1.517784937732358230e-07,9.924432635307312012e-01,7.553761359304189682e-03
