token,attention_sum
<s>,10.3104
본인,0.4040
<unk>,0.1948
<unk>(2),0.1497
<unk>(3),0.1749
모르는,1.3268
상황에서,0.5208
<unk>,0.6049
않는,0.8528
정보를,1.4034
<unk>,0.5318
건,0.6122
<unk>,0.2245
<unk>(2),0.3780
될,0.7775
것,0.4700
같다,0.5333
.,0.7618
</s>,0.7683
