token,attention_sum
<s>,15.0621
I,0.2823
think,0.5307
I,0.4305
will,0.3614
get,0.3065
a,0.3690
good,0.2396
idea,0.3044
to,0.3173
get,0.2302
information,0.2886
that,0.2988
I,0.3784
don,0.3447
&apos;t,0.2087
know,0.2485
when,0.2161
I,0.1663
know,0.1278
.,0.2883
