token,attention_sum
<s>,8.4963
본인,0.8677
<unk>,0.3462
<unk>(2),0.3700
<unk>(3),0.3152
모르는,0.5360
상황에서,0.6310
<unk>,0.5034
않는,0.6941
정보를,1.3433
<unk>,0.3149
건,0.8117
<unk>,0.3696
<unk>(2),0.5996
될,0.7035
것,0.3863
같다,0.3982
.,0.6577
</s>,0.6551
