6.137202978134155273e-01,1.054015159606933594e-01,7.823653519153594971e-02,2.216745167970657349e-02,1.222961209714412689e-02,2.935168519616127014e-02,3.052142262458801270e-02,1.418683119118213654e-02,8.380911312997341156e-03,7.658242247998714447e-03,1.448392681777477264e-02,1.393491309136152267e-02,7.934830151498317719e-03,8.279435336589813232e-03,1.678241975605487823e-02,1.672999002039432526e-02
6.156104207038879395e-01,1.055581271648406982e-01,5.908603966236114502e-02,2.548257634043693542e-02,3.030900657176971436e-02,2.466857992112636566e-02,4.294237494468688965e-02,1.705271191895008087e-02,8.476635441184043884e-03,6.214174441993236542e-03,9.306302294135093689e-03,7.655268069356679916e-03,8.019146509468555450e-03,8.065219968557357788e-03,1.573696732521057129e-02,1.581648737192153931e-02
4.626909494400024414e-01,3.779751807451248169e-02,3.911162912845611572e-02,5.913572013378143311e-02,3.185584396123886108e-02,6.890648603439331055e-02,8.133658021688461304e-02,2.673083171248435974e-02,1.394337415695190430e-02,1.172296516597270966e-02,5.783672258257865906e-02,3.431774303317070007e-02,1.666962355375289917e-02,1.519335340708494186e-02,2.139684557914733887e-02,2.135386876761913300e-02
6.092445254325866699e-01,1.775750145316123962e-02,1.306434720754623413e-02,4.639243707060813904e-02,2.875438891351222992e-02,5.005698651075363159e-02,1.707268804311752319e-01,6.605152972042560577e-03,7.456823252141475677e-03,5.793206393718719482e-03,5.109686404466629028e-03,4.131406545639038086e-03,5.010742228478193283e-03,4.219279624521732330e-03,1.288953237235546112e-02,1.278717257082462311e-02
6.094703674316406250e-01,1.354372035712003708e-02,8.538773283362388611e-03,5.017864704132080078e-02,5.604424327611923218e-02,4.927048832178115845e-02,1.539295017719268799e-01,1.391182746738195419e-02,7.958560250699520111e-03,4.736408591270446777e-03,6.209101527929306030e-03,3.220869926735758781e-03,4.535033833235502243e-03,3.100508823990821838e-03,7.698729168623685837e-03,7.653252687305212021e-03
6.241887807846069336e-01,5.711323581635951996e-03,3.716199193149805069e-03,4.616139456629753113e-02,3.612688556313514709e-02,9.386810660362243652e-02,1.331925690174102783e-01,7.742289453744888306e-03,6.977533921599388123e-03,3.946886397898197174e-03,3.476713784039020538e-03,3.583354875445365906e-03,3.573490306735038757e-03,3.105333773419260979e-03,1.226051151752471924e-02,1.236865669488906860e-02
5.275130271911621094e-01,8.595347404479980469e-03,6.223242264240980148e-03,1.038937866687774658e-01,1.020085066556930542e-01,1.418975889682769775e-01,6.595286726951599121e-02,9.277202188968658447e-03,4.951576236635446548e-03,3.611223772168159485e-03,2.849170006811618805e-03,2.503511961549520493e-03,2.861474175006151199e-03,2.534184604883193970e-03,7.626572623848915100e-03,7.700731512159109116e-03
5.703068375587463379e-01,5.910946056246757507e-03,3.786015091463923454e-03,1.052690073847770691e-01,1.293791234493255615e-01,1.135089322924613953e-01,2.384608611464500427e-02,1.470080576837062836e-02,4.570583347231149673e-03,2.880211919546127319e-03,5.222981330007314682e-03,3.791134338825941086e-03,2.714698901399970055e-03,2.082040067762136459e-03,5.992738530039787292e-03,6.037870422005653381e-03
5.037223696708679199e-01,5.191734526306390762e-03,2.800469053909182549e-03,6.547407060861587524e-02,2.154531478881835938e-01,1.411407738924026489e-01,2.079363726079463959e-02,6.604469381272792816e-03,4.189830273389816284e-03,1.960517140105366707e-03,4.922235384583473206e-03,6.214533932507038116e-03,2.330212853848934174e-03,2.372258808463811874e-03,8.379183709621429443e-03,8.450536057353019714e-03
5.432958006858825684e-01,7.675719447433948517e-03,5.660250317305326462e-03,1.977775543928146362e-01,1.642553210258483887e-01,2.708351425826549530e-02,1.133286394178867340e-02,4.528548568487167358e-03,9.195779450237751007e-03,3.977140877395868301e-03,2.320497296750545502e-03,2.700960962101817131e-03,3.924078308045864105e-03,3.207948524504899979e-03,6.509950384497642517e-03,6.554155610501766205e-03
