2.379281967878341675e-01,9.793949127197265625e-02,8.701571077108383179e-02,3.198690712451934814e-02,1.482890173792839050e-02,1.636657677590847015e-02,2.080761641263961792e-02,2.739646285772323608e-02,2.320661209523677826e-02,5.901200696825981140e-02,2.019116282463073730e-02,1.792478375136852264e-02,1.167930476367473602e-02,6.806193850934505463e-03,5.563580431044101715e-03,7.031254470348358154e-03,1.213735993951559067e-02,1.458225399255752563e-02,1.299881469458341599e-02,1.568146236240863800e-02,1.170618459582328796e-02,1.529931556433439255e-02,2.569766156375408173e-02,1.296574249863624573e-02,1.343743037432432175e-02,1.177380979061126709e-02,1.194677036255598068e-02,1.550941728055477142e-02,2.851911447942256927e-02,5.684139579534530640e-02,5.521852895617485046e-02
4.024281203746795654e-01,2.736090421676635742e-01,5.893089622259140015e-02,1.249891798943281174e-02,7.534976117312908173e-03,5.751588847488164902e-03,1.068832539021968842e-02,9.795285761356353760e-03,1.329037919640541077e-02,1.311840675771236420e-02,3.047568257898092270e-03,2.627064008265733719e-03,3.865817561745643616e-03,3.847179934382438660e-03,2.667438704520463943e-03,2.321679377928376198e-03,3.355299588292837143e-03,3.712368197739124298e-03,4.635365679860115051e-03,4.535912536084651947e-03,6.968820467591285706e-03,9.411398321390151978e-03,5.515769124031066895e-03,2.898905891925096512e-03,2.638428239151835442e-03,4.098449833691120148e-03,5.252563860267400742e-03,7.084168028086423874e-03,1.495074015110731125e-02,5.067416653037071228e-02,4.824496433138847351e-02
2.852039039134979248e-01,3.241080045700073242e-01,6.582243740558624268e-02,1.136749424040317535e-02,1.347962394356727600e-02,1.075366698205471039e-02,2.591092698276042938e-02,2.044378593564033508e-02,2.334091439843177795e-02,3.237171098589897156e-02,4.582178313285112381e-03,4.159104079008102417e-03,7.211847230792045593e-03,2.486311364918947220e-03,2.278998261317610741e-03,1.981924986466765404e-03,5.058371461927890778e-03,4.442906007170677185e-03,3.685031551867723465e-03,4.380581900477409363e-03,3.400150686502456665e-03,5.055358633399009705e-03,4.628061782568693161e-03,3.303105011582374573e-03,2.927650697529315948e-03,3.280492965131998062e-03,4.159416072070598602e-03,6.971005350351333618e-03,1.455236505717039108e-02,5.043822154402732849e-02,4.821448028087615967e-02
6.656862050294876099e-02,2.320074290037155151e-01,1.437901556491851807e-01,2.153682522475719452e-02,1.237927284091711044e-02,9.340593591332435608e-03,1.476403884589672089e-02,1.185343414545059204e-02,1.650304719805717468e-02,3.687133267521858215e-02,8.219540119171142578e-03,7.890925742685794830e-03,7.320143282413482666e-03,2.577649429440498352e-03,2.168942708522081375e-03,1.453498145565390587e-03,5.329430103302001953e-03,5.814674776047468185e-03,5.257162265479564667e-03,3.503225743770599365e-03,2.767372643575072289e-03,5.285135470330715179e-03,1.017265953123569489e-02,8.919114246964454651e-03,1.126311533153057098e-02,3.904070332646369934e-02,3.477747365832328796e-02,4.607444629073143005e-02,5.769694596529006958e-02,8.508085459470748901e-02,8.377228677272796631e-02
7.045418024063110352e-02,7.676817476749420166e-02,9.480606764554977417e-02,5.471613630652427673e-02,2.457330189645290375e-02,1.320372056216001511e-02,2.799544110894203186e-02,2.882010303437709808e-02,2.840050682425498962e-02,7.924330979585647583e-02,8.391365408897399902e-03,6.091603543609380722e-03,7.845482788980007172e-03,2.186623169109225273e-03,1.810949761420488358e-03,1.488849986344575882e-03,9.140167385339736938e-03,8.139491081237792969e-03,6.344409193843603134e-03,6.540787871927022934e-03,4.307506605982780457e-03,7.036452181637287140e-03,1.643667928874492645e-02,1.603757962584495544e-02,1.625222712755203247e-02,3.233334049582481384e-02,4.311108589172363281e-02,5.189627408981323242e-02,8.047789335250854492e-02,8.816842734813690186e-02,8.698190748691558838e-02
9.995936602354049683e-02,1.093784272670745850e-01,7.290429621934890747e-02,9.202446043491363525e-02,4.063338786363601685e-02,1.819719187915325165e-02,3.070848062634468079e-02,3.605231270194053650e-02,3.180395066738128662e-02,7.576160877943038940e-02,6.388987880200147629e-03,5.462185479700565338e-03,1.005514245480298996e-02,2.955519594252109528e-03,2.490787766873836517e-03,2.058797050267457962e-03,8.057591505348682404e-03,1.315244194120168686e-02,6.915086880326271057e-03,5.718148779124021530e-03,6.603313144296407700e-03,1.008859649300575256e-02,1.918981969356536865e-02,1.851992309093475342e-02,1.487426366657018661e-02,2.251588180661201477e-02,2.634438499808311462e-02,3.403534367680549622e-02,4.585792869329452515e-02,6.614302843809127808e-02,6.514938920736312866e-02
3.662397712469100952e-02,2.633459493517875671e-02,1.215671002864837646e-02,1.127097159624099731e-01,8.117692172527313232e-02,1.057581156492233276e-01,2.345419228076934814e-01,1.421979069709777832e-01,3.607340157032012939e-02,2.878828160464763641e-02,2.231780206784605980e-03,1.594723202288150787e-03,3.844276769086718559e-03,8.026605471968650818e-03,6.708760745823383331e-03,5.173286888748407364e-03,1.147403102368116379e-02,5.194660741835832596e-03,1.124023180454969406e-02,8.304614573717117310e-03,6.423553451895713806e-03,1.043137814849615097e-02,1.110401004552841187e-02,7.059250026941299438e-03,5.869985558092594147e-03,6.528948433697223663e-03,4.989163950085639954e-03,5.464894231408834457e-03,9.630913846194744110e-03,2.676143869757652283e-02,2.558198384940624237e-02
2.214859798550605774e-02,3.342183306813240051e-02,2.247560769319534302e-02,3.434065356850624084e-02,2.938718907535076141e-02,3.464704006910324097e-02,2.282803356647491455e-01,2.443852275609970093e-01,7.805085182189941406e-02,4.959855973720550537e-02,4.741824232041835785e-03,3.018321003764867783e-03,3.730777185410261154e-03,3.017651382833719254e-03,2.435564063489437103e-03,2.578939776867628098e-03,7.587754633277654648e-03,5.495657213032245636e-03,7.614675909280776978e-03,8.895815350115299225e-03,6.534350570291280746e-03,8.865351788699626923e-03,1.130665000528097153e-02,7.972062565386295319e-03,6.952674128115177155e-03,8.810367435216903687e-03,1.068259216845035553e-02,1.295754127204418182e-02,2.318204939365386963e-02,3.918113559484481812e-02,3.770237043499946594e-02
5.699839442968368530e-02,2.463210187852382660e-02,1.379851251840591431e-02,3.209601342678070068e-02,2.389976195991039276e-02,2.846452221274375916e-02,6.675606220960617065e-02,1.741733253002166748e-01,2.137283533811569214e-01,9.125604480504989624e-02,6.091702729463577271e-03,3.825610969215631485e-03,6.214167457073926926e-03,1.074191555380821228e-02,7.563100196421146393e-03,4.543177783489227295e-03,9.183088317513465881e-03,5.231018178164958954e-03,5.204387474805116653e-03,1.525763049721717834e-02,1.039281859993934631e-02,1.124915853142738342e-02,1.185378432273864746e-02,6.007782183587551117e-03,5.530261434614658356e-03,8.027326315641403198e-03,1.000022329390048981e-02,1.401439215987920761e-02,2.748188935220241547e-02,4.870066791772842407e-02,4.708282649517059326e-02
3.767445683479309082e-02,3.309023380279541016e-02,1.703339070081710815e-02,3.134311363101005554e-02,2.377515099942684174e-02,1.656050980091094971e-02,3.679957613348960876e-02,3.783365339040756226e-02,1.674272418022155762e-01,1.430854797363281250e-01,7.157891988754272461e-03,6.986292079091072083e-03,7.249389775097370148e-03,5.705599673092365265e-03,4.531268961727619171e-03,3.433904144912958145e-03,1.418478786945343018e-02,7.577064912766218185e-03,9.855708107352256775e-03,7.839046418666839600e-03,1.475225389003753662e-02,1.991511508822441101e-02,2.662060968577861786e-02,1.177864521741867065e-02,1.224594842642545700e-02,3.582330793142318726e-02,4.110558331012725830e-02,3.962311148643493652e-02,5.389956757426261902e-02,6.315967440605163574e-02,6.193248555064201355e-02
