6.294347345829010010e-02,7.392983883619308472e-02,5.006092041730880737e-02,1.071971282362937927e-01,5.321063101291656494e-02,1.125221326947212219e-01,6.160162016749382019e-02,3.994125872850418091e-02,3.385105729103088379e-02,3.163137286901473999e-02,2.494523674249649048e-02,2.394316717982292175e-02,2.385657653212547302e-02
1.574204415082931519e-01,3.944344446063041687e-02,2.069741291260080579e-02,1.954289972782135010e-01,3.013175427913665771e-01,1.817077957093715668e-02,3.412030264735221863e-02,6.551942788064479828e-03,1.267370954155921936e-02,4.394832998514175415e-02,1.955112628638744354e-02,1.340441871434450150e-02,1.308708265423774719e-02
3.342550513999802964e-01,3.977405339745538823e-03,2.122491022348594117e-02,2.354856042989662834e-01,1.083921438881329108e-01,2.543598776017980817e-02,1.884347878928695555e-02,1.564651784220976588e-02,3.058861997643751857e-02,1.905781802322183485e-02,1.725645539616899732e-02,2.162612612093133685e-02,2.086040919779666783e-02
8.351841568946838379e-02,9.220695937983691692e-04,1.063361602635788140e-02,1.794591099023818970e-01,3.978289961814880371e-01,1.374853253364562988e-01,4.464299976825714111e-02,1.299287565052509308e-02,2.885236591100692749e-02,6.660946179181337357e-03,7.681904360651969910e-03,1.283322460949420929e-02,1.268641185015439987e-02
4.504299908876419067e-02,1.989765791222453117e-03,1.552680741796003995e-02,1.102097928524017334e-01,1.274328678846359253e-01,3.251188397407531738e-01,1.067470833659172058e-01,3.778925910592079163e-02,2.366150543093681335e-02,2.107638493180274963e-02,2.153014391660690308e-02,3.489599376916885376e-02,3.581776097416877747e-02
2.498620599508285522e-01,2.504627453163266182e-03,2.714192780799099328e-02,1.661921478807926178e-02,4.623345658183097839e-02,2.888367883861064911e-02,6.727559119462966919e-02,1.401367187500000000e-01,7.630463689565658569e-02,2.728343382477760315e-02,6.750056892633438110e-02,4.446223750710487366e-02,4.294026643037796021e-02
1.145562604069709778e-01,8.274987339973449707e-04,1.376794113145608962e-02,2.826998708769679070e-03,9.157622233033180237e-03,1.120886765420436859e-02,6.876474618911743164e-02,2.878382802009582520e-02,7.276619970798492432e-02,1.012995615601539612e-01,1.140264198184013367e-01,1.891874074935913086e-01,1.902190297842025757e-01
1.646630018949508667e-01,4.726216429844498634e-04,3.213426585924545470e-02,6.516783032566308975e-03,1.903786207549273968e-03,1.469425507821142673e-03,5.912635009735822678e-03,2.286498062312602997e-02,1.296659260988235474e-01,2.003030329942703247e-01,1.298642903566360474e-01,5.647406727075576782e-02,5.494954437017440796e-02
8.227774500846862793e-01,5.290623754262924194e-03,7.087747283679034400e-03,5.934534128755331039e-03,4.922009073197841644e-03,5.378745961934328079e-03,2.739319810643792152e-03,2.810755278915166855e-03,6.744458340108394623e-03,5.653963424265384674e-03,1.189101580530405045e-02,3.764345124363899231e-02,3.859934955835342407e-02
6.394928097724914551e-01,6.606248021125793457e-02,6.139969419954078786e-03,4.783945158123970032e-02,1.966692507266998291e-02,6.945490837097167969e-02,2.683625090867280960e-03,7.881743833422660828e-03,2.804931625723838806e-02,3.689171513542532921e-03,3.447992727160453796e-03,3.369369730353355408e-02,3.505809605121612549e-02
8.658244609832763672e-01,6.961476802825927734e-02,4.391332165271576117e-04,4.936215002089738846e-03,7.533199619501829147e-03,1.775194145739078522e-02,1.144815818406641483e-03,1.502900850027799606e-03,5.815728567540645599e-03,7.809664821252226830e-04,4.237380344420671463e-04,1.070914417505264282e-02,1.088823936879634857e-02
9.499436020851135254e-01,2.791001833975315094e-02,1.557853289081581963e-04,4.090611822903156281e-03,1.530848909169435501e-03,5.453607533127069473e-03,1.955268904566764832e-03,8.480665565002709627e-05,3.370468912180513144e-04,2.712563145905733109e-04,4.383120976854115725e-04,3.327234415337443352e-03,3.566780593246221542e-03
9.474672675132751465e-01,2.923953719437122345e-02,1.598932649358175695e-04,4.344854969531297684e-03,1.611074432730674744e-03,5.629699677228927612e-03,2.067303517833352089e-03,8.502960554324090481e-05,3.590914129745215178e-04,2.850897144526243210e-04,4.652302595786750317e-04,3.538662567734718323e-03,3.787828609347343445e-03
