6.567503213882446289e-01,8.642243221402168274e-03,1.051363255828619003e-02,8.411644026637077332e-03,9.315477684140205383e-03,1.347859296947717667e-02,2.018096111714839935e-02,3.131394088268280029e-02,2.628147602081298828e-02,5.412837117910385132e-02,3.695399314165115356e-02,2.891434542834758759e-02,1.556796301156282425e-02,1.979672349989414215e-02,2.152531221508979797e-02,8.772388100624084473e-03,4.686072934418916702e-03,1.223617605865001678e-02,1.253026723861694336e-02
8.163367956876754761e-02,1.384107396006584167e-02,5.680622532963752747e-03,2.024117857217788696e-03,9.871617658063769341e-04,2.683600469026714563e-04,7.080566865624859929e-05,3.826749511063098907e-03,1.353230210952460766e-03,6.473026587627828121e-05,1.449470035731792450e-02,9.409808553755283356e-04,9.176496416330337524e-03,1.337797753512859344e-02,1.250551827251911163e-02,6.521140784025192261e-02,3.092869818210601807e-01,2.329202294349670410e-01,2.323351949453353882e-01
6.811801195144653320e-01,3.039951995015144348e-02,1.303816214203834534e-02,3.035698086023330688e-03,1.476157805882394314e-03,5.764605943113565445e-03,5.994575913064181805e-04,1.762764528393745422e-02,7.344654877670109272e-04,4.796216264367103577e-03,1.224105283617973328e-01,1.539178658276796341e-02,1.461277902126312256e-02,2.334679290652275085e-02,7.636010181158781052e-03,7.803366053849458694e-03,5.897624883800745010e-03,2.236390486359596252e-02,2.188517525792121887e-02
1.478659510612487793e-01,3.587237000465393066e-02,1.776921562850475311e-02,7.708624470978975296e-03,4.391215741634368896e-03,1.476548844948410988e-03,1.024652447085827589e-04,1.570271328091621399e-02,1.524411886930465698e-02,1.390363759128376842e-04,3.814649581909179688e-02,2.754840534180402756e-03,2.108878269791603088e-02,4.848466441035270691e-02,2.255145087838172913e-02,8.453030884265899658e-02,2.692837119102478027e-01,1.325785219669342041e-01,1.343089789152145386e-01
7.996270060539245605e-01,5.782455578446388245e-02,1.928331679664552212e-03,8.975228993222117424e-04,4.961888771504163742e-04,2.382918726652860641e-03,1.009492320008575916e-03,4.205738659948110580e-03,1.698966603726148605e-03,1.347859390079975128e-03,4.879465792328119278e-03,9.792905300855636597e-03,3.409276250749826431e-03,7.689478807151317596e-03,4.538909345865249634e-02,2.931651659309864044e-02,1.156793348491191864e-02,8.160571567714214325e-03,8.376135490834712982e-03
9.223572015762329102e-01,4.872501362115144730e-03,5.372424493543803692e-04,2.532268117647618055e-04,2.278075262438505888e-04,1.027412014082074165e-03,5.758762126788496971e-04,3.107099095359444618e-03,9.945238707587122917e-04,6.154024507850408554e-03,9.859434328973293304e-03,1.536320243030786514e-02,2.256688894703984261e-03,4.361571278423070908e-03,6.863415706902742386e-03,9.299432858824729919e-03,6.086279638111591339e-03,2.890328178182244301e-03,2.912725089117884636e-03
9.335389137268066406e-01,3.595479764044284821e-03,6.634776364080607891e-04,5.198061699047684669e-04,5.765765672549605370e-04,4.174243949819356203e-04,5.847176071256399155e-03,1.976717496290802956e-03,1.839936012402176857e-03,1.888059545308351517e-03,3.109744517132639885e-03,1.619111979380249977e-03,1.294065383262932301e-03,2.499777358025312424e-03,1.647632941603660583e-02,4.708309192210435867e-03,1.539415447041392326e-03,8.925241418182849884e-03,8.964511565864086151e-03
9.383366703987121582e-01,1.049046171829104424e-03,1.199242324219085276e-04,1.289731735596433282e-04,2.345630200579762459e-04,4.204630968160927296e-04,5.726297968067228794e-04,1.237039105035364628e-03,7.337739691138267517e-03,2.243947237730026245e-03,2.817516797222197056e-04,1.037872629240155220e-03,1.102584501495584846e-04,2.725185477174818516e-04,1.157256588339805603e-02,1.697735488414764404e-02,1.895489287562668324e-03,8.111633360385894775e-03,8.059576153755187988e-03
5.023356676101684570e-01,3.170095756649971008e-02,3.701151581481099129e-03,1.046554534696042538e-03,3.590977576095610857e-04,6.549483630806207657e-03,7.078999187797307968e-03,5.067368037998676300e-03,1.272866316139698029e-02,4.022035002708435059e-01,6.077279336750507355e-03,1.033795718103647232e-02,3.831860958598554134e-04,1.671626232564449310e-03,5.197002552449703217e-03,7.435727166011929512e-04,3.379047120688483119e-05,1.418096362613141537e-03,1.366015872918069363e-03
6.015764474868774414e-01,4.533284809440374374e-03,5.275577306747436523e-03,1.719485968351364136e-03,1.017639646306633949e-03,1.283945050090551376e-02,1.077747065573930740e-02,1.288901455700397491e-02,5.186137929558753967e-02,1.519566215574741364e-02,5.384934321045875549e-02,1.647240668535232544e-01,1.064042560756206512e-02,2.849496714770793915e-02,1.882959157228469849e-02,4.109008237719535828e-03,7.542612147517502308e-04,4.450587148312479258e-04,4.678770201280713081e-04
