batch,Dec_CrossAttn_L0,Dec_CrossAttn_L1,Dec_CrossAttn_L2,Dec_CrossAttn_L3,Dec_CrossAttn_L4,Dec_CrossAttn_L5,Dec_FFN_L0,Dec_FFN_L1,Dec_FFN_L2,Dec_FFN_L3,Dec_FFN_L4,Dec_FFN_L5,Dec_SelfAttn_L0,Dec_SelfAttn_L1,Dec_SelfAttn_L2,Dec_SelfAttn_L3,Dec_SelfAttn_L4,Dec_SelfAttn_L5,Enc_FFN_L0,Enc_FFN_L1,Enc_FFN_L2,Enc_FFN_L3,Enc_FFN_L4,Enc_FFN_L5,Enc_SelfAttn_L0,Enc_SelfAttn_L1,Enc_SelfAttn_L2,Enc_SelfAttn_L3,Enc_SelfAttn_L4,Enc_SelfAttn_L5
batch 0,0.838902,0.656017,0.618186,0.603393,0.686045,0.621702,0.582143,0.463231,0.463992,0.543984,0.551563,0.780866,0.790929,0.219889,0.164337,0.136361,0.290275,0.412862,0.836071,0.655306,0.550724,0.449361,0.394644,0.433458,1.615267,0.788200,0.511225,0.398298,0.386475,0.337461
batch 1,0.780389,0.630462,0.633026,0.624850,0.717101,0.587716,0.567111,0.467693,0.475999,0.542300,0.550725,0.757240,0.722757,0.230768,0.156601,0.136697,0.294995,0.407212,0.740309,0.527203,0.471559,0.433654,0.408841,0.476860,1.550849,0.739556,0.544653,0.480845,0.437064,0.369230
batch 2,0.879546,0.690664,0.607452,0.607454,0.658269,0.626535,0.592521,0.476913,0.473719,0.526990,0.529607,0.751565,0.859349,0.248900,0.170140,0.128221,0.270859,0.405718,0.836678,0.610958,0.575842,0.437207,0.408908,0.447269,1.610121,0.783317,0.543285,0.455450,0.393832,0.355907
batch 3,0.774579,0.643924,0.625191,0.644819,0.719513,0.601316,0.544220,0.466512,0.465460,0.521279,0.516571,0.716230,0.705761,0.258108,0.163781,0.140697,0.288009,0.377360,0.684243,0.500190,0.445082,0.427680,0.390924,0.473057,1.338751,0.662967,0.509189,0.431131,0.404885,0.363676
batch 4,0.778506,0.654940,0.621883,0.653563,0.721535,0.621062,0.553131,0.472023,0.475871,0.531053,0.539137,0.786510,0.745639,0.248811,0.166779,0.134792,0.288650,0.431592,0.756020,0.560416,0.472649,0.425440,0.423021,0.446553,1.503197,0.721713,0.545428,0.477853,0.419651,0.361151
batch 5,0.846475,0.634932,0.603080,0.602465,0.648196,0.571194,0.584019,0.457874,0.456050,0.510305,0.534818,0.735225,0.762202,0.235572,0.164189,0.134117,0.286650,0.395702,0.758412,0.602605,0.500486,0.436728,0.425973,0.442343,1.604771,0.752304,0.522042,0.439511,0.399031,0.354597
batch 6,0.891041,0.693256,0.672325,0.668781,0.699098,0.666943,0.615178,0.490183,0.486242,0.546490,0.531748,0.761978,0.880991,0.248688,0.175136,0.137768,0.282707,0.420564,0.748145,0.568526,0.489234,0.459356,0.377628,0.487300,1.525366,0.722366,0.513695,0.449848,0.407082,0.372637
batch 7,0.687204,0.570619,0.572965,0.569792,0.653210,0.577669,0.541300,0.454811,0.453809,0.526671,0.503844,0.753726,0.657128,0.253605,0.171335,0.129930,0.251235,0.408151,0.661659,0.515136,0.466439,0.449040,0.376306,0.470815,1.376835,0.710279,0.522028,0.448014,0.411158,0.381538
batch 8,0.756712,0.632990,0.587239,0.599850,0.669342,0.586605,0.555687,0.460948,0.454844,0.516406,0.524717,0.758644,0.691021,0.245478,0.167842,0.129505,0.268534,0.413142,0.732740,0.540717,0.472389,0.430685,0.417755,0.442258,1.499834,0.729755,0.544349,0.435929,0.423165,0.370667
batch 9,0.926068,0.714358,0.660116,0.649059,0.708067,0.606675,0.595639,0.483539,0.468513,0.515063,0.515157,0.732461,0.863595,0.223162,0.179670,0.130844,0.277043,0.387139,0.772698,0.614360,0.541488,0.421076,0.407540,0.440721,1.613559,0.702421,0.505544,0.411772,0.369191,0.327662
batch 10,0.713002,0.628216,0.587191,0.591834,0.666901,0.556979,0.510667,0.452210,0.449093,0.513864,0.500510,0.753063,0.662367,0.230665,0.168107,0.136837,0.263428,0.399008,0.722687,0.537243,0.456470,0.457252,0.408590,0.470405,1.392800,0.709407,0.534055,0.468907,0.411038,0.363337
batch 11,0.779695,0.663843,0.593412,0.605496,0.619266,0.554503,0.574052,0.465633,0.476789,0.526062,0.539893,0.715607,0.786029,0.238038,0.164640,0.129046,0.251001,0.363726,0.761511,0.628645,0.543631,0.414260,0.371739,0.443926,1.597130,0.745908,0.528505,0.429396,0.367640,0.331827
batch 12,0.678693,0.590338,0.585928,0.595687,0.662491,0.570118,0.516770,0.441088,0.441056,0.507787,0.503241,0.726432,0.610130,0.264208,0.164560,0.131192,0.259373,0.390715,0.673924,0.503883,0.461996,0.453275,0.410645,0.463720,1.409641,0.715591,0.539817,0.463486,0.432479,0.385422
batch 13,0.741894,0.612026,0.597625,0.608476,0.704785,0.592343,0.534479,0.456751,0.445840,0.513337,0.505138,0.742932,0.666811,0.253818,0.176939,0.140360,0.287378,0.403368,0.659772,0.496298,0.439574,0.440785,0.384588,0.446206,1.358409,0.731069,0.535327,0.444902,0.434801,0.382866
batch 14,0.801831,0.659096,0.610566,0.618390,0.723614,0.616747,0.575573,0.481821,0.476700,0.531987,0.527126,0.723140,0.754916,0.257264,0.188856,0.137524,0.278140,0.396368,0.750607,0.580410,0.489158,0.445380,0.382291,0.478927,1.522997,0.742723,0.512774,0.452718,0.411466,0.371650
batch 15,0.718374,0.591884,0.589740,0.582755,0.647961,0.567356,0.526662,0.448384,0.443690,0.512624,0.486279,0.734912,0.667522,0.262594,0.171995,0.141590,0.262660,0.419111,0.655718,0.488026,0.438208,0.427983,0.383278,0.468493,1.457620,0.681847,0.531242,0.456818,0.434208,0.397999
batch 16,0.836420,0.681519,0.623607,0.623538,0.664692,0.611588,0.553747,0.464582,0.480974,0.513389,0.498569,0.705155,0.803615,0.240587,0.172126,0.141877,0.251963,0.375152,0.764463,0.565286,0.493465,0.429102,0.384903,0.463725,1.495847,0.708559,0.526723,0.478997,0.380777,0.356550
batch 17,0.733385,0.587830,0.587712,0.588638,0.663545,0.560986,0.536658,0.448354,0.442277,0.509152,0.496723,0.714346,0.684096,0.244373,0.169047,0.148419,0.262656,0.379995,0.707480,0.542948,0.491860,0.437478,0.358873,0.490987,1.517733,0.706882,0.525057,0.450020,0.405582,0.383042
batch 18,0.759037,0.666445,0.597078,0.630131,0.667842,0.608807,0.553906,0.465828,0.461856,0.520680,0.509473,0.745796,0.701804,0.255328,0.166149,0.134066,0.264459,0.403028,0.729854,0.560788,0.476402,0.465323,0.412038,0.448154,1.490426,0.737026,0.547488,0.479153,0.413832,0.372170
batch 19,0.911462,0.691145,0.624049,0.584079,0.678084,0.574522,0.642473,0.484025,0.465741,0.527223,0.521817,0.733767,0.902757,0.216452,0.169118,0.133636,0.259349,0.396555,0.832636,0.603470,0.534074,0.431712,0.383269,0.429150,1.458569,0.690701,0.484354,0.383005,0.395820,0.310027
batch 20,0.708016,0.626095,0.595889,0.625089,0.692750,0.601223,0.528417,0.457022,0.453169,0.507624,0.498289,0.743387,0.651213,0.265932,0.175451,0.137210,0.265834,0.400895,0.749790,0.535136,0.488150,0.461702,0.407495,0.457342,1.579874,0.733742,0.557744,0.473033,0.427467,0.379380
batch 21,0.762951,0.637153,0.621339,0.640677,0.687854,0.602681,0.548533,0.464872,0.460237,0.524336,0.505121,0.749726,0.711305,0.257702,0.171428,0.146922,0.275153,0.400640,0.705117,0.529370,0.471504,0.434538,0.406827,0.480602,1.500481,0.736801,0.538940,0.458803,0.424793,0.389762
batch 22,0.834773,0.646719,0.611668,0.627244,0.666028,0.548124,0.639646,0.474931,0.475586,0.525123,0.533580,0.695475,0.836347,0.250300,0.170251,0.135361,0.260855,0.362481,0.781119,0.603770,0.525438,0.444210,0.406950,0.418232,1.629981,0.743247,0.542903,0.435967,0.386260,0.354014
batch 23,0.759300,0.633273,0.601766,0.626528,0.729782,0.633754,0.553794,0.473273,0.473608,0.528270,0.514410,0.783632,0.700905,0.250159,0.171476,0.139731,0.280265,0.435429,0.670073,0.524364,0.457048,0.464757,0.375409,0.479331,1.407972,0.711280,0.535106,0.443078,0.428437,0.381957
batch 24,0.848045,0.664386,0.629795,0.648875,0.710105,0.591217,0.600518,0.479676,0.481266,0.530756,0.512815,0.748996,0.821272,0.255192,0.176151,0.143856,0.271868,0.400298,0.719857,0.538858,0.484842,0.434772,0.416919,0.482951,1.532974,0.731095,0.517343,0.461624,0.431724,0.375513
batch 25,0.824623,0.676463,0.615377,0.600998,0.630999,0.571164,0.578514,0.463965,0.466487,0.537629,0.526102,0.756204,0.769966,0.224875,0.142632,0.125501,0.264914,0.400715,0.788015,0.627197,0.549525,0.451176,0.393583,0.445498,1.543084,0.730829,0.541167,0.445484,0.389949,0.341036
batch 26,0.781298,0.633951,0.596710,0.590379,0.647406,0.586322,0.564651,0.457612,0.460929,0.512178,0.497239,0.747233,0.775679,0.219861,0.151074,0.127742,0.260631,0.422695,0.761319,0.621916,0.536827,0.454055,0.395005,0.446481,1.630926,0.738535,0.523582,0.418550,0.368979,0.330076
batch 27,0.797786,0.625219,0.587177,0.602623,0.743168,0.608983,0.593595,0.473455,0.486814,0.534342,0.516591,0.778672,0.730041,0.238820,0.175462,0.129529,0.277428,0.427024,0.693774,0.522455,0.439137,0.473500,0.401164,0.440316,1.577617,0.728458,0.539616,0.439057,0.424708,0.388265
batch 28,0.787206,0.626350,0.622979,0.617486,0.752075,0.582900,0.561513,0.464764,0.469035,0.530468,0.528070,0.740915,0.722513,0.224958,0.171123,0.129449,0.274501,0.385900,0.713304,0.557501,0.496804,0.468005,0.451066,0.499325,1.418361,0.682509,0.531241,0.461280,0.404220,0.339850
batch 29,0.695919,0.608695,0.571829,0.593136,0.678744,0.562849,0.533385,0.455942,0.456694,0.507869,0.504478,0.722266,0.656757,0.244245,0.173648,0.131929,0.262590,0.383162,0.727246,0.532918,0.476391,0.440486,0.399041,0.454394,1.481988,0.722205,0.550808,0.449720,0.429774,0.382178
batch 30,0.791679,0.634369,0.623557,0.642064,0.735802,0.621542,0.535891,0.458404,0.464532,0.516021,0.503850,0.755346,0.687132,0.234617,0.157142,0.134882,0.285512,0.414820,0.753106,0.561560,0.477454,0.444289,0.372864,0.477972,1.512183,0.723259,0.561062,0.464080,0.404969,0.372763
batch 31,0.791328,0.660416,0.625663,0.662127,0.725991,0.607401,0.581332,0.471130,0.473899,0.546990,0.535820,0.813729,0.774008,0.230259,0.164737,0.135739,0.295688,0.434742,0.743568,0.519398,0.455591,0.491635,0.401259,0.463661,1.501078,0.697997,0.523872,0.453766,0.404579,0.376953
batch 32,0.685578,0.615737,0.578016,0.594836,0.668822,0.581656,0.527811,0.440353,0.443416,0.508909,0.515980,0.787547,0.622685,0.265859,0.179120,0.152208,0.283763,0.436533,0.720615,0.537534,0.441192,0.473116,0.415654,0.455685,1.519841,0.759954,0.567090,0.464523,0.430226,0.379306
batch 33,0.729946,0.610953,0.582839,0.585167,0.647892,0.577538,0.525009,0.440847,0.450497,0.505355,0.523086,0.753273,0.632037,0.233558,0.169311,0.145755,0.264167,0.402156,0.766088,0.554931,0.525909,0.444606,0.394654,0.435161,1.559731,0.747094,0.543895,0.411638,0.391781,0.365311
batch 34,0.838405,0.650075,0.598450,0.591768,0.651490,0.552164,0.584281,0.463773,0.462279,0.509057,0.504693,0.716954,0.733966,0.270407,0.202996,0.152762,0.265690,0.383563,0.665625,0.533536,0.483490,0.437482,0.412861,0.473098,1.405984,0.695454,0.516945,0.452050,0.408812,0.369630
batch 35,0.726058,0.604954,0.598098,0.613691,0.708322,0.609411,0.540373,0.478872,0.466963,0.520708,0.503915,0.770824,0.668447,0.257799,0.176884,0.136717,0.272930,0.427975,0.681948,0.522223,0.457586,0.454410,0.389825,0.482204,1.439398,0.727299,0.546393,0.467135,0.431277,0.392790
batch 36,0.851587,0.660162,0.631226,0.623346,0.689047,0.589220,0.590802,0.470762,0.475370,0.530683,0.519224,0.758830,0.797999,0.228672,0.155703,0.135900,0.270821,0.410580,0.783882,0.597643,0.513864,0.428545,0.414341,0.435212,1.507123,0.740404,0.527015,0.422996,0.399482,0.325303
batch 37,0.914454,0.689590,0.657388,0.604306,0.670052,0.624711,0.633036,0.490635,0.471148,0.523711,0.534354,0.744965,0.880401,0.216758,0.170820,0.128222,0.276549,0.406230,0.781010,0.608977,0.541304,0.462586,0.387235,0.437930,1.553539,0.723432,0.518600,0.402405,0.380675,0.335384
batch 38,0.728943,0.607411,0.593622,0.597915,0.665302,0.574718,0.551567,0.456952,0.446758,0.509314,0.505719,0.736525,0.661053,0.263570,0.170081,0.149290,0.271032,0.392755,0.719789,0.555774,0.514709,0.417079,0.397017,0.443493,1.479096,0.741428,0.531700,0.446268,0.423900,0.376295
batch 39,0.786231,0.634982,0.586095,0.610664,0.711277,0.591435,0.569280,0.467976,0.465787,0.519711,0.510144,0.749231,0.723881,0.250575,0.174695,0.151879,0.268679,0.412576,0.709360,0.538393,0.513816,0.446059,0.402226,0.464062,1.546354,0.719393,0.527570,0.452869,0.397906,0.369577
batch 40,0.786835,0.612627,0.569936,0.578504,0.699193,0.639979,0.598596,0.458717,0.470066,0.528025,0.538917,0.705727,0.727790,0.229753,0.159582,0.132584,0.279476,0.377930,0.805025,0.618560,0.536256,0.415219,0.414245,0.427718,1.576707,0.723742,0.552866,0.436990,0.407349,0.351153
batch 41,0.756651,0.644268,0.613573,0.640364,0.683479,0.572399,0.553136,0.482521,0.486009,0.534527,0.510159,0.739523,0.712029,0.242763,0.173592,0.145672,0.264968,0.397616,0.729280,0.560702,0.502816,0.467860,0.383876,0.488172,1.599612,0.783281,0.593662,0.487644,0.435895,0.379973
batch 42,0.743385,0.634311,0.599674,0.645028,0.745796,0.622738,0.538172,0.460584,0.469918,0.524057,0.493844,0.725208,0.755358,0.264503,0.172458,0.140893,0.278138,0.394731,0.769195,0.576565,0.513141,0.442585,0.396068,0.455442,1.565071,0.709144,0.507270,0.452759,0.396476,0.356583
batch 43,0.883905,0.684341,0.641368,0.630864,0.639790,0.597848,0.600004,0.469754,0.464917,0.512047,0.529329,0.773836,0.836869,0.226463,0.199185,0.140636,0.270955,0.408215,0.869512,0.655043,0.560152,0.426066,0.441267,0.435484,1.567963,0.775949,0.521932,0.410434,0.358057,0.318099
batch 44,0.796813,0.623456,0.631511,0.619046,0.701840,0.602878,0.571513,0.465116,0.458824,0.540455,0.525787,0.762286,0.754812,0.226161,0.162462,0.136685,0.289817,0.419899,0.745910,0.561454,0.530883,0.412161,0.384148,0.485281,1.526715,0.738797,0.543094,0.473155,0.414675,0.358898
batch 45,0.769846,0.630270,0.610766,0.620815,0.717055,0.628057,0.564604,0.471078,0.463766,0.530263,0.530889,0.763032,0.722835,0.249389,0.172159,0.144622,0.287715,0.413862,0.749688,0.568987,0.491701,0.405257,0.403317,0.468832,1.558751,0.748730,0.548633,0.470690,0.421043,0.370550
batch 46,0.924374,0.696525,0.647977,0.631410,0.688778,0.618498,0.595927,0.485861,0.479804,0.546597,0.534576,0.782050,0.872950,0.239140,0.167543,0.135827,0.282807,0.416344,0.775789,0.618518,0.519108,0.449486,0.414294,0.442773,1.422829,0.716203,0.494801,0.410839,0.356488,0.314035
batch 47,0.845708,0.687939,0.634590,0.633304,0.698848,0.613454,0.578155,0.478605,0.470903,0.546676,0.531302,0.792247,0.831481,0.218768,0.166796,0.132662,0.283035,0.425505,0.812903,0.610062,0.501194,0.410161,0.358773,0.464145,1.555331,0.697821,0.482391,0.421611,0.369595,0.334253
batch 48,0.807697,0.644988,0.625288,0.618335,0.716066,0.582801,0.540152,0.471248,0.471297,0.526792,0.510639,0.759137,0.753522,0.239235,0.157339,0.142985,0.286093,0.407872,0.738828,0.575549,0.483945,0.412069,0.369288,0.486068,1.609947,0.704330,0.552621,0.462733,0.376991,0.357044
batch 49,0.760039,0.618911,0.600227,0.630795,0.671531,0.603780,0.516783,0.447010,0.453101,0.515578,0.507307,0.739733,0.693712,0.232793,0.166281,0.137860,0.269819,0.416714,0.724856,0.573986,0.500397,0.434458,0.370116,0.464094,1.489614,0.733827,0.534975,0.448172,0.403692,0.366615
batch 50,0.710101,0.636386,0.583104,0.618425,0.631977,0.564898,0.565756,0.458937,0.460232,0.518908,0.516616,0.782496,0.725370,0.237732,0.163977,0.140536,0.272035,0.416029,0.778213,0.572944,0.472900,0.498378,0.445568,0.443214,1.571381,0.768226,0.537463,0.460351,0.387226,0.359627
batch 51,0.724291,0.626929,0.598687,0.629182,0.695034,0.613408,0.539271,0.461209,0.454474,0.509239,0.500811,0.724135,0.710115,0.274025,0.172035,0.152408,0.272818,0.403003,0.708797,0.523954,0.450661,0.427859,0.378072,0.473562,1.398142,0.716672,0.564430,0.453505,0.420501,0.384236
batch 52,0.773482,0.643706,0.611360,0.609036,0.685165,0.596938,0.547421,0.455274,0.457333,0.518018,0.522401,0.751800,0.697850,0.250649,0.167503,0.128974,0.266434,0.397774,0.795896,0.579211,0.508910,0.432514,0.389165,0.466473,1.566128,0.757573,0.542140,0.474326,0.398514,0.346489
batch 53,0.743983,0.625476,0.606276,0.617353,0.670600,0.572898,0.554840,0.456933,0.456862,0.527093,0.524566,0.756095,0.710985,0.235345,0.159796,0.131384,0.274626,0.399120,0.709991,0.566773,0.459117,0.446949,0.399825,0.468024,1.553847,0.751226,0.557500,0.453336,0.428476,0.384211
batch 54,0.824427,0.657518,0.636657,0.604499,0.716006,0.603168,0.597701,0.473593,0.466622,0.531186,0.513067,0.743095,0.780958,0.237715,0.157417,0.129092,0.273303,0.401574,0.745348,0.614519,0.528161,0.431482,0.389146,0.452385,1.536654,0.683532,0.492343,0.422849,0.395922,0.325594
batch 55,0.869017,0.692177,0.650412,0.669334,0.797362,0.674642,0.585693,0.477660,0.479743,0.540938,0.544796,0.747995,0.830131,0.219702,0.183735,0.133614,0.307584,0.418735,0.793833,0.572115,0.514693,0.429181,0.417217,0.442165,1.607619,0.688047,0.508951,0.411987,0.370150,0.339816
batch 56,0.812805,0.653297,0.647096,0.611311,0.701644,0.614183,0.556058,0.474734,0.481651,0.542334,0.519311,0.767831,0.836701,0.230859,0.166623,0.141170,0.276382,0.425910,0.760108,0.627937,0.495954,0.448725,0.399591,0.468939,1.603533,0.699211,0.515884,0.429848,0.422130,0.358990
batch 57,0.754127,0.642461,0.606334,0.609274,0.699169,0.569511,0.571344,0.476251,0.463258,0.525248,0.519562,0.751016,0.705371,0.250369,0.171658,0.148272,0.267688,0.403572,0.709847,0.548163,0.491998,0.447094,0.403421,0.459064,1.455846,0.742821,0.536409,0.468778,0.415494,0.371574
batch 58,0.732186,0.612641,0.577428,0.584837,0.670535,0.590695,0.569472,0.471647,0.459412,0.517572,0.529727,0.759694,0.699001,0.242612,0.156802,0.125862,0.286092,0.409983,0.722198,0.512724,0.447739,0.488743,0.499312,0.466650,1.458047,0.712215,0.545416,0.454531,0.416967,0.373022
batch 59,0.848795,0.678897,0.623445,0.612735,0.673404,0.609835,0.596830,0.485998,0.470509,0.538129,0.542327,0.765649,0.801103,0.254862,0.171611,0.131515,0.281366,0.414961,0.741023,0.575792,0.506578,0.436683,0.348127,0.448788,1.496745,0.720485,0.529537,0.452291,0.410207,0.359209
batch 60,0.763861,0.629012,0.605378,0.571094,0.680128,0.600083,0.552341,0.463960,0.461528,0.517089,0.527804,0.720041,0.715834,0.220874,0.156875,0.135368,0.274829,0.391997,0.773713,0.608522,0.542637,0.428511,0.411029,0.451700,1.516542,0.744919,0.519066,0.454559,0.382520,0.333645
batch 61,0.783516,0.615137,0.599017,0.610473,0.671400,0.584898,0.594533,0.470643,0.467520,0.523692,0.539388,0.771353,0.743076,0.254050,0.169419,0.135517,0.274442,0.413664,0.752186,0.564772,0.497888,0.429520,0.384046,0.454933,1.498879,0.746453,0.562242,0.472461,0.409396,0.372495
batch 62,0.836138,0.639474,0.627148,0.629697,0.677780,0.584056,0.597441,0.485218,0.480378,0.543025,0.524615,0.743976,0.789526,0.228602,0.172820,0.139632,0.266215,0.405315,0.717528,0.559136,0.514356,0.446372,0.422246,0.471163,1.535182,0.714056,0.528317,0.445623,0.403271,0.364383
batch 63,0.775512,0.622906,0.574660,0.591325,0.642414,0.567346,0.594603,0.465893,0.457848,0.517253,0.520525,0.739356,0.730441,0.262339,0.176111,0.140704,0.267194,0.395735,0.712168,0.553736,0.464788,0.437776,0.401230,0.459031,1.515261,0.748861,0.568452,0.457024,0.419541,0.374010
batch 64,0.855550,0.647315,0.596702,0.603339,0.678444,0.624534,0.573052,0.466180,0.469088,0.516958,0.515800,0.745453,0.765499,0.258355,0.173882,0.140020,0.280373,0.401191,0.775076,0.588209,0.491249,0.450429,0.399399,0.456051,1.549266,0.766840,0.542997,0.459956,0.399537,0.352499
batch 65,0.852835,0.662373,0.662165,0.627142,0.701660,0.635054,0.566786,0.478468,0.481605,0.549982,0.548374,0.770478,0.794891,0.218217,0.165284,0.143328,0.297062,0.415463,0.808813,0.627022,0.506737,0.439903,0.408365,0.487333,1.616603,0.748015,0.556111,0.452928,0.418180,0.336392
batch 66,0.742577,0.609144,0.608759,0.601978,0.648169,0.556051,0.575503,0.459591,0.460582,0.525477,0.520967,0.725720,0.664373,0.252031,0.172648,0.142660,0.259989,0.382332,0.681727,0.509363,0.446358,0.433620,0.406345,0.474583,1.346396,0.697651,0.527155,0.465756,0.418977,0.387373
batch 67,0.828773,0.633420,0.585063,0.588150,0.664263,0.585108,0.596991,0.470306,0.467849,0.533980,0.535434,0.739630,0.835805,0.227668,0.163791,0.138622,0.274327,0.394022,0.747403,0.578769,0.539915,0.432193,0.404617,0.455473,1.566623,0.703515,0.512464,0.461107,0.403895,0.342781
batch 68,0.814933,0.637449,0.648468,0.655393,0.763287,0.641975,0.577082,0.471355,0.471277,0.545920,0.530504,0.736387,0.750935,0.225490,0.161524,0.128408,0.288607,0.407668,0.724919,0.531490,0.472697,0.465578,0.383747,0.499797,1.501755,0.653390,0.530062,0.445191,0.402647,0.374393
batch 69,0.803992,0.660398,0.613367,0.625337,0.706458,0.592065,0.587168,0.466329,0.470305,0.530986,0.515217,0.758169,0.745744,0.256242,0.172723,0.143860,0.273278,0.409586,0.716686,0.541858,0.486584,0.451698,0.405222,0.468408,1.541222,0.744361,0.569041,0.462837,0.419590,0.381063
batch 70,0.845843,0.699378,0.652458,0.668454,0.741631,0.657535,0.570813,0.481335,0.482538,0.535314,0.527436,0.733742,0.810930,0.235461,0.180206,0.134168,0.296385,0.402401,0.751115,0.589000,0.518524,0.415606,0.381605,0.463597,1.590327,0.681496,0.528984,0.427049,0.405512,0.354478
batch 71,0.747162,0.606799,0.588726,0.596350,0.709659,0.617184,0.567583,0.465479,0.470780,0.518312,0.505534,0.760442,0.728913,0.277878,0.176048,0.147164,0.274878,0.424719,0.662538,0.531973,0.466353,0.433703,0.395048,0.475811,1.440213,0.683126,0.536136,0.448350,0.431261,0.384965
batch 72,0.741550,0.631450,0.584592,0.605770,0.677525,0.580605,0.557254,0.455152,0.457646,0.509371,0.513866,0.752688,0.707421,0.279203,0.175071,0.145095,0.264312,0.403926,0.710827,0.523232,0.485343,0.469765,0.405837,0.445081,1.472404,0.740984,0.557331,0.455682,0.410964,0.366640
batch 73,0.762492,0.628144,0.625969,0.632444,0.707376,0.590227,0.535434,0.470206,0.469445,0.537636,0.508517,0.743821,0.723537,0.245654,0.163741,0.143949,0.276246,0.410773,0.689578,0.512397,0.465563,0.418688,0.384002,0.469488,1.541405,0.734661,0.546978,0.477150,0.444589,0.399231
batch 74,0.739169,0.614802,0.607119,0.613410,0.703198,0.593282,0.532738,0.462116,0.451462,0.502672,0.506818,0.767355,0.678789,0.258310,0.173308,0.135794,0.269731,0.419484,0.704901,0.541415,0.449968,0.429058,0.390647,0.450631,1.425495,0.749107,0.546967,0.454434,0.420572,0.378020
batch 75,0.768223,0.639352,0.619847,0.633118,0.736157,0.606079,0.562836,0.469770,0.472221,0.530946,0.518924,0.746422,0.720228,0.223726,0.164727,0.139998,0.281319,0.411000,0.688897,0.538827,0.491585,0.445240,0.394720,0.466096,1.407805,0.705860,0.524351,0.454780,0.414694,0.364595
batch 76,0.849187,0.675409,0.641737,0.649838,0.707882,0.632112,0.590836,0.481483,0.473456,0.534158,0.525503,0.751191,0.833552,0.255488,0.169016,0.140301,0.277135,0.409650,0.780309,0.607094,0.524744,0.398069,0.416006,0.434449,1.487062,0.731609,0.516892,0.434354,0.393007,0.340623
batch 77,0.749577,0.634115,0.617872,0.633584,0.706467,0.625303,0.562885,0.476860,0.468690,0.546820,0.531333,0.790816,0.736392,0.243822,0.178213,0.140024,0.285742,0.426835,0.700332,0.513382,0.414015,0.446817,0.394716,0.472064,1.458113,0.699168,0.507672,0.438204,0.400168,0.376017
batch 78,0.819787,0.676114,0.647818,0.653640,0.744373,0.655264,0.592143,0.489268,0.482853,0.550307,0.539365,0.838072,0.775088,0.262492,0.173769,0.151554,0.310410,0.454603,0.762194,0.533888,0.439421,0.466302,0.435168,0.460747,1.595950,0.748828,0.561889,0.458005,0.421497,0.375272
batch 79,0.767964,0.645239,0.634231,0.657684,0.692698,0.612649,0.553406,0.474597,0.470960,0.525271,0.533566,0.734464,0.715778,0.255207,0.177105,0.133315,0.291439,0.396131,0.753198,0.574319,0.518277,0.424223,0.382960,0.474991,1.495515,0.753780,0.541740,0.456881,0.406353,0.351337
batch 80,0.797048,0.627454,0.604755,0.612273,0.718431,0.640366,0.562028,0.470704,0.485149,0.541879,0.515319,0.712815,0.806296,0.270978,0.179123,0.148348,0.281400,0.388047,0.726692,0.520478,0.478815,0.425429,0.392581,0.501207,1.510600,0.713623,0.530019,0.456034,0.403685,0.372187
batch 81,0.712882,0.613634,0.586508,0.607933,0.673507,0.588753,0.525993,0.464634,0.464817,0.516952,0.502324,0.756290,0.702576,0.258318,0.182361,0.144433,0.256770,0.416352,0.713341,0.536176,0.456669,0.438234,0.427662,0.468467,1.395475,0.702249,0.514399,0.447224,0.421463,0.364832
batch 82,0.788757,0.664342,0.626367,0.656280,0.755605,0.631740,0.588560,0.469480,0.474138,0.535986,0.510672,0.737180,0.713658,0.252508,0.172147,0.141572,0.290457,0.395100,0.720142,0.537196,0.487861,0.430311,0.404068,0.463830,1.533417,0.743710,0.556863,0.460872,0.425112,0.379838
batch 83,0.851168,0.658392,0.623819,0.608445,0.704558,0.589505,0.618019,0.477419,0.486745,0.535038,0.531258,0.758832,0.772534,0.235944,0.173058,0.141731,0.276996,0.408286,0.722652,0.550066,0.524895,0.442005,0.372538,0.485801,1.458460,0.714366,0.511106,0.457318,0.401304,0.358683
batch 84,0.813186,0.630310,0.628944,0.669243,0.765478,0.614134,0.541767,0.478979,0.487255,0.543159,0.511757,0.730155,0.796849,0.233781,0.164285,0.128587,0.288964,0.397077,0.735795,0.545810,0.485417,0.447730,0.405061,0.516622,1.485327,0.670510,0.515566,0.450190,0.402560,0.394890
batch 85,0.697978,0.598550,0.620230,0.622661,0.684769,0.585655,0.514683,0.451750,0.462476,0.518047,0.497586,0.740288,0.650843,0.236223,0.162943,0.136579,0.264543,0.398534,0.695793,0.523852,0.464137,0.444402,0.392729,0.464280,1.439854,0.725864,0.535885,0.451459,0.416499,0.375647
batch 86,0.826737,0.642845,0.608472,0.604015,0.670223,0.586546,0.589174,0.471637,0.472574,0.536626,0.521603,0.771035,0.769559,0.272852,0.193358,0.139620,0.264339,0.421260,0.739550,0.575612,0.503348,0.441919,0.394874,0.423210,1.479189,0.727904,0.532327,0.456721,0.397618,0.363515
