batch,Dec_CrossAttn_L0,Dec_CrossAttn_L1,Dec_CrossAttn_L2,Dec_CrossAttn_L3,Dec_CrossAttn_L4,Dec_CrossAttn_L5,Dec_FFN_L0,Dec_FFN_L1,Dec_FFN_L2,Dec_FFN_L3,Dec_FFN_L4,Dec_FFN_L5,Dec_SelfAttn_L0,Dec_SelfAttn_L1,Dec_SelfAttn_L2,Dec_SelfAttn_L3,Dec_SelfAttn_L4,Dec_SelfAttn_L5,Enc_FFN_L0,Enc_FFN_L1,Enc_FFN_L2,Enc_FFN_L3,Enc_FFN_L4,Enc_FFN_L5,Enc_SelfAttn_L0,Enc_SelfAttn_L1,Enc_SelfAttn_L2,Enc_SelfAttn_L3,Enc_SelfAttn_L4,Enc_SelfAttn_L5
batch 2520,0.869148,0.647241,0.618362,0.610259,0.695497,0.586084,0.615706,0.466672,0.481200,0.538036,0.552297,0.748359,0.807841,0.223364,0.159737,0.120464,0.271585,0.419195,0.774474,0.589474,0.557347,0.460249,0.461516,0.446847,1.588691,0.741036,0.536474,0.439192,0.365248,0.306047
batch 2521,0.780266,0.594682,0.605074,0.589409,0.701835,0.596538,0.553686,0.453905,0.459429,0.517361,0.496081,0.713705,0.713871,0.253387,0.167472,0.142225,0.258646,0.384766,0.681281,0.540749,0.515422,0.422161,0.359491,0.484936,1.512129,0.622639,0.488710,0.428613,0.415046,0.379740
batch 2522,0.711176,0.592476,0.571838,0.593678,0.680931,0.563368,0.540452,0.465437,0.465751,0.524245,0.516691,0.731369,0.684821,0.249730,0.154770,0.128277,0.277289,0.382538,0.639148,0.507669,0.448878,0.467848,0.382851,0.499083,1.420810,0.689553,0.525705,0.441894,0.416684,0.375126
batch 2523,0.761040,0.661641,0.596657,0.611699,0.674717,0.620796,0.561747,0.467959,0.457354,0.516922,0.520920,0.732666,0.695581,0.249140,0.180105,0.153935,0.266708,0.403094,0.763077,0.553289,0.499579,0.431217,0.396878,0.467547,1.555093,0.759286,0.546701,0.451339,0.437860,0.379529
batch 2524,0.727477,0.590494,0.554624,0.565933,0.691831,0.564616,0.563404,0.442146,0.451358,0.504223,0.505137,0.728530,0.668069,0.245073,0.153422,0.139874,0.265064,0.385798,0.681969,0.542131,0.499722,0.451246,0.397041,0.505225,1.508536,0.722841,0.523431,0.453331,0.402989,0.364797
batch 2525,0.759932,0.623454,0.592893,0.608563,0.674837,0.582560,0.561254,0.472855,0.457237,0.517443,0.517957,0.735097,0.703248,0.272495,0.176484,0.132358,0.266686,0.397863,0.718177,0.533529,0.466355,0.458095,0.389017,0.454376,1.482818,0.729267,0.558662,0.472166,0.425846,0.381550
batch 2526,0.719785,0.598475,0.576587,0.605436,0.671001,0.583645,0.563367,0.461202,0.464371,0.522450,0.517670,0.751274,0.709326,0.269659,0.164868,0.149634,0.276018,0.408596,0.751753,0.559962,0.485860,0.422404,0.400239,0.484742,1.489034,0.719375,0.527238,0.466740,0.403812,0.357230
batch 2527,0.758961,0.631043,0.597867,0.611992,0.694381,0.632867,0.533021,0.461751,0.472167,0.538696,0.526338,0.786655,0.752159,0.207391,0.149896,0.128465,0.285804,0.419161,0.747017,0.574497,0.479045,0.456559,0.443040,0.455070,1.568837,0.744625,0.523606,0.460434,0.402573,0.336902
batch 2528,0.702911,0.586496,0.565930,0.574840,0.666727,0.553260,0.553484,0.455714,0.473601,0.520456,0.501315,0.747498,0.634447,0.245314,0.168993,0.145733,0.256076,0.399712,0.706321,0.515809,0.488842,0.470575,0.412520,0.466334,1.483380,0.751348,0.542236,0.471515,0.402436,0.371638
batch 2529,0.758921,0.636519,0.596915,0.588401,0.625584,0.559685,0.561246,0.459619,0.461798,0.525048,0.525068,0.722558,0.721877,0.260931,0.178212,0.147360,0.264871,0.381172,0.743383,0.549840,0.487378,0.458950,0.397529,0.458863,1.598241,0.773488,0.557703,0.483146,0.425056,0.393553
batch 2530,0.726689,0.602348,0.565340,0.586634,0.653725,0.551709,0.548803,0.451236,0.451361,0.509241,0.499942,0.710635,0.664047,0.250444,0.169148,0.132893,0.251793,0.366219,0.674947,0.522613,0.471912,0.419329,0.368751,0.477255,1.415718,0.692144,0.530829,0.454363,0.416812,0.397181
batch 2531,0.741796,0.611099,0.590005,0.620467,0.663679,0.558414,0.625187,0.474055,0.484539,0.532045,0.526753,0.715359,0.736174,0.252992,0.177785,0.147159,0.256737,0.371040,0.759986,0.552121,0.507483,0.442976,0.411085,0.451757,1.564343,0.734740,0.544603,0.450323,0.428244,0.367606
batch 2532,0.846753,0.692413,0.639655,0.633770,0.683485,0.562404,0.594408,0.491704,0.482303,0.520333,0.518058,0.767293,0.803893,0.243107,0.190522,0.146353,0.276824,0.402555,0.770081,0.574750,0.496901,0.428048,0.413120,0.507084,1.577331,0.718188,0.523065,0.454723,0.386260,0.344691
batch 2533,0.772195,0.628117,0.585698,0.611620,0.690199,0.566008,0.544120,0.451793,0.467417,0.519683,0.506904,0.726602,0.702943,0.247424,0.173552,0.144400,0.256780,0.376719,0.726494,0.531911,0.467967,0.473783,0.415915,0.465843,1.485740,0.737259,0.539335,0.460243,0.418615,0.384655
batch 2534,0.856961,0.686264,0.616896,0.651223,0.670676,0.580006,0.591394,0.465250,0.467379,0.519851,0.537323,0.757382,0.800657,0.227459,0.161209,0.128254,0.276513,0.400442,0.772809,0.611901,0.532398,0.432098,0.414224,0.411919,1.485166,0.745136,0.541385,0.431082,0.385743,0.326247
batch 2535,0.742811,0.619430,0.591419,0.602948,0.721305,0.579365,0.586461,0.459172,0.465394,0.523110,0.517091,0.691960,0.771802,0.249049,0.193395,0.170704,0.276505,0.365714,0.743022,0.575525,0.528229,0.449809,0.379360,0.465066,1.591617,0.713775,0.524359,0.449869,0.406289,0.387801
batch 2536,0.707276,0.607842,0.615781,0.637647,0.691057,0.599393,0.554573,0.476094,0.477917,0.537822,0.521796,0.798972,0.647102,0.236269,0.162126,0.139456,0.296840,0.427720,0.726522,0.516850,0.449642,0.484185,0.424761,0.472207,1.479039,0.713637,0.545105,0.436393,0.400493,0.384921
batch 2537,0.786608,0.641364,0.614188,0.613746,0.693124,0.613498,0.560578,0.468662,0.458243,0.514523,0.506471,0.746162,0.731672,0.264961,0.167618,0.140234,0.295600,0.404940,0.685783,0.515088,0.477803,0.432565,0.387683,0.468045,1.453933,0.713307,0.536675,0.450850,0.427734,0.388168
