token,attention_sum
<s>,16.5169
I,0.1712
think,0.3418
I,0.2487
will,0.3126
get,0.3832
a,0.2895
good,0.1726
idea,0.2569
to,0.2632
get,0.1872
information,0.3534
that,0.2685
I,0.2219
don,0.1715
&apos;t,0.1611
know,0.2105
when,0.2182
I,0.0933
know,0.0582
.,0.0997
