token,attention_sum
<s>,11.8782
I,0.4428
think,0.8058
I,0.4215
will,0.5695
get,0.6864
a,0.5707
good,0.5410
idea,0.5650
to,0.5183
get,0.6245
information,0.4299
that,0.5266
I,0.5009
don,0.3780
&apos;t,0.2343
know,0.4568
when,0.3873
I,0.2274
know,0.1530
.,0.0823
