token,attention_sum
<s>,9.0779
본인,0.6369
<unk>,0.4781
<unk>(2),0.4108
<unk>(3),0.4773
모르는,0.9055
상황에서,0.6520
<unk>,0.4218
않는,0.8386
정보를,0.5478
<unk>,0.4221
건,0.6942
<unk>,0.4934
<unk>(2),0.6083
될,0.4708
것,0.4559
같다,0.4668
.,0.4742
</s>,0.4676
