token,attention_sum
<s>,11.6781
본인,0.5046
<unk>,0.1834
<unk>(2),0.1388
<unk>(3),0.1611
모르는,1.0186
상황에서,0.7400
<unk>,0.3411
않는,0.8262
정보를,1.2734
<unk>,0.5173
건,0.9113
<unk>,0.2251
<unk>(2),0.3331
될,0.7985
것,0.3663
같다,0.2160
.,0.3821
</s>,0.3850
