token,attention_sum
<s>,0.6282
본인,1.0787
<unk>,0.8561
<unk>(2),0.8972
<unk>(3),1.0718
모르는,1.3053
상황에서,1.1364
<unk>,0.9332
않는,0.9881
정보를,1.2017
<unk>,0.9438
건,0.9394
<unk>,0.8740
<unk>(2),0.9598
될,1.2052
것,0.8844
같다,1.4281
.,0.7281
</s>,0.9405
