3.990938067436218262e-01,9.887211024761199951e-03,5.775682628154754639e-03,6.103776395320892334e-03,2.417034702375531197e-03,3.831510432064533234e-03,8.489605039358139038e-03,1.295389328151941299e-02,8.272920735180377960e-03,8.386361412703990936e-03,7.692570798099040985e-03,4.692007787525653839e-03,5.879856180399656296e-03,7.515309844166040421e-03,2.734449924901127815e-03,2.781667280942201614e-03,8.863158524036407471e-03,1.809248887002468109e-02,3.308434411883354187e-02,9.737147018313407898e-03,8.415774442255496979e-03,4.535861779004335403e-03,9.930917993187904358e-03,8.546637371182441711e-03,1.849803514778614044e-02,8.591988123953342438e-03,3.147308249026536942e-03,6.345997098833322525e-03,4.260629415512084961e-03,5.888600833714008331e-03,5.992630124092102051e-02,2.956272065639495850e-01
1.325814723968505859e-01,6.127179861068725586e-01,2.027710676193237305e-01,2.041594684123992920e-02,3.767470188904553652e-04,1.714971294859424233e-04,2.293107798323035240e-03,1.959147863090038300e-03,3.813235089182853699e-04,1.022277516312897205e-03,5.655402783304452896e-04,1.086208969354629517e-03,3.845137543976306915e-03,7.672582869417965412e-04,1.746311754686757922e-04,1.300066476687788963e-03,9.922306053340435028e-04,6.631774012930691242e-04,9.793185017770156264e-05,8.162966114468872547e-04,1.794615382095798850e-04,6.314709899015724659e-04,1.223649247549474239e-03,1.388023811159655452e-04,5.064547294750809669e-04,3.750046307686716318e-04,4.548561410047113895e-04,1.989049633266404271e-04,2.498700923752039671e-04,8.999707060866057873e-04,5.270749330520629883e-03,4.871778655797243118e-03
1.729739643633365631e-02,1.593228876590728760e-01,5.203763246536254883e-01,2.102995812892913818e-01,1.313322316855192184e-02,9.795547230169177055e-04,8.363868691958487034e-04,3.186975605785846710e-03,1.309873303398489952e-03,1.940383663168177009e-04,1.012917840853333473e-03,2.207986544817686081e-03,2.208904363214969635e-03,3.019990399479866028e-03,2.331923460587859154e-03,1.604373101145029068e-03,1.453780918382108212e-03,3.110536490567028522e-04,1.059566347976215184e-04,7.695303793298080564e-05,1.160287996754050255e-03,1.206697081215679646e-03,2.317723119631409645e-03,3.325410070829093456e-04,1.992863399209454656e-04,1.115440041758120060e-03,4.398606542963534594e-04,4.777342546731233597e-03,4.395121941342949867e-04,7.994462735950946808e-03,1.886763423681259155e-02,1.987911947071552277e-02
3.030864056199789047e-03,1.310877054929733276e-01,1.500026434659957886e-01,4.718940854072570801e-01,1.274111419916152954e-01,7.148336153477430344e-04,3.429189557209610939e-03,4.281731380615383387e-04,3.439033636823296547e-03,2.236505737528204918e-03,6.134361959993839264e-03,9.278375073336064816e-04,3.048942890018224716e-03,3.394228173419833183e-03,1.236503245308995247e-03,3.418853739276528358e-04,4.339543171226978302e-03,5.933863576501607895e-03,7.930754800327122211e-04,1.101015368476510048e-03,2.716535236686468124e-03,2.726387174334377050e-04,1.333321095444262028e-03,3.744838992133736610e-03,1.526635512709617615e-02,3.908812534064054489e-03,3.214374009985476732e-04,5.692823906429111958e-04,4.397316370159387589e-03,1.581236161291599274e-02,1.679440401494503021e-02,1.393721066415309906e-02
1.269485801458358765e-02,4.461898002773523331e-03,4.909144714474678040e-03,1.311220526695251465e-01,5.404787063598632812e-01,2.637173533439636230e-01,5.089055630378425121e-04,2.184200129704549909e-04,2.598872233647853136e-04,1.572239270899444818e-04,1.861896162154152989e-04,6.511671934276819229e-03,8.786642574705183506e-04,6.597330211661756039e-04,3.212093142792582512e-03,4.175708454567939043e-04,1.891193562187254429e-03,3.257025309721939266e-05,5.870406748726963997e-04,1.413272111676633358e-04,2.961253921966999769e-04,1.094924169592559338e-03,3.518254379741847515e-04,3.325403667986392975e-05,5.702976341126486659e-05,3.026839112862944603e-04,1.302642631344497204e-03,1.932973973453044891e-03,2.497807145118713379e-04,6.189772975631058216e-04,1.068324223160743713e-02,1.003011874854564667e-02
6.689260248094797134e-03,2.528273616917431355e-04,6.231826846487820148e-04,1.277105649933218956e-03,2.319681644439697266e-01,5.831001996994018555e-01,1.400961130857467651e-01,7.941416464745998383e-03,1.688198419287800789e-03,1.103789982153102756e-04,1.054658554494380951e-03,8.529686601832509041e-04,2.428426640108227730e-03,2.839601656887680292e-04,1.124853733927011490e-03,1.004522782750427723e-03,4.758778377436101437e-04,6.245636614039540291e-04,1.492800889536738396e-03,9.816444799071177840e-05,1.454339362680912018e-03,8.674569544382393360e-04,3.256914496887475252e-04,2.955082803964614868e-03,4.798682930413633585e-04,5.767381517216563225e-04,1.420232583768665791e-03,3.830813802778720856e-04,1.731568481773138046e-03,8.894790662452578545e-04,3.097865963354706764e-03,2.630974631756544113e-03
2.133764093741774559e-03,1.812282716855406761e-04,9.534255514154210687e-05,1.421788125298917294e-03,5.598304327577352524e-03,3.236334919929504395e-01,4.526870250701904297e-01,1.286389231681823730e-01,1.012069289572536945e-03,1.611734391190111637e-03,6.233779131434857845e-04,3.981090267188847065e-04,5.152344238013029099e-04,6.047916831448674202e-04,5.923714488744735718e-04,1.294308109208941460e-03,5.897888168692588806e-02,1.127226045355200768e-03,3.655015025287866592e-03,4.077814519405364990e-03,5.020171520300209522e-04,2.104438462993130088e-04,1.256399787962436676e-03,3.632685693446546793e-04,2.579153515398502350e-03,3.137731400784105062e-04,3.982198250014334917e-04,1.279988937312737107e-04,9.468750213272869587e-04,1.924498472362756729e-03,1.059140195138752460e-03,1.437369384802877903e-03
2.393221366219222546e-04,2.855163475032895803e-04,1.662570321059320122e-05,4.370014721644110978e-05,2.102322032442316413e-04,1.229852903634309769e-03,1.291194260120391846e-01,7.418487071990966797e-01,1.251329481601715088e-01,3.248505527153611183e-05,1.286283168155932799e-05,5.418198634288273752e-05,3.194159653503447771e-04,1.319364946539280936e-05,8.030830940697342157e-06,6.557316373800858855e-05,4.890402487944811583e-05,4.934818571200594306e-05,6.759525604138616472e-06,1.694471393420826644e-05,1.233320836036000401e-05,7.512811862397938967e-05,5.652449326589703560e-04,3.627583646448329091e-05,2.545689494581893086e-05,3.113008642685599625e-05,1.219476962432963774e-05,9.145781950792297721e-05,2.738190960371866822e-05,1.505077034380519763e-05,1.460340718040242791e-04,2.083133877022191882e-04
4.722337238490581512e-03,2.063781255856156349e-03,1.268510124646127224e-03,2.499070949852466583e-03,6.511730607599020004e-04,1.586883678101003170e-03,1.637233421206474304e-02,2.017204612493515015e-01,5.253940820693969727e-01,1.277578473091125488e-01,6.180027034133672714e-03,8.953310316428542137e-04,8.141744183376431465e-04,1.159406732767820358e-03,3.285099228378385305e-04,1.121276058256626129e-03,2.002334920689463615e-03,1.120819128118455410e-03,1.902227406390011311e-03,2.991876681335270405e-04,6.329012662172317505e-02,3.091817023232579231e-03,2.424120903015136719e-04,8.738252217881381512e-04,2.938478486612439156e-03,3.951246384531259537e-03,1.368469092994928360e-03,1.605944009497761726e-03,1.313614426180720329e-03,2.820163965225219727e-03,9.925436228513717651e-03,8.718689903616905212e-03
1.737825572490692139e-03,5.768013943452388048e-05,2.824736839102115482e-05,1.762241845426615328e-05,9.508941730018705130e-05,9.625669190427288413e-05,1.118973596021533012e-04,7.506624679081141949e-04,1.278783380985260010e-01,6.345437765121459961e-01,1.360643357038497925e-01,1.159010734409093857e-02,4.502059164224192500e-05,1.228530254593351856e-05,1.374669518554583192e-04,3.381250135134905577e-04,1.254710252396762371e-03,1.448642113246023655e-03,1.474524324294179678e-04,8.043779432773590088e-02,4.466611790121532977e-05,1.055043321684934199e-04,3.802287392318248749e-04,3.530916728777810931e-05,3.491048119030892849e-05,4.313631143304519355e-05,1.481794897699728608e-04,1.657019020058214664e-04,7.911124703241512179e-05,1.493475720053538680e-04,9.203699300996959209e-04,1.100176945328712463e-03
