1.904334500432014465e-02,3.037206083536148071e-02,3.264585509896278381e-02,4.423858597874641418e-03,7.913929410278797150e-03,1.176571287214756012e-02,1.267152093350887299e-02,2.029962465167045593e-02,1.286284811794757843e-02,1.287364400923252106e-02,5.703222379088401794e-02,3.606277704238891602e-02,4.829948768019676208e-02,8.650243282318115234e-02,1.523168087005615234e-01,1.356073915958404541e-01,1.593577265739440918e-01,1.599487662315368652e-01
2.460976596921682358e-03,1.289806445129215717e-03,7.636041846126317978e-04,1.329077640548348427e-04,1.052224833983927965e-04,2.946985187008976936e-04,1.175888814032077789e-03,5.632007378153502941e-04,2.410251880064606667e-03,4.476512782275676727e-03,4.244985058903694153e-02,1.030892282724380493e-01,2.817517220973968506e-01,1.836918592453002930e-01,9.969270229339599609e-02,1.187603026628494263e-01,7.825776189565658569e-02,7.863347977399826050e-02
2.033209661021828651e-03,1.436588470824062824e-03,1.129091833718121052e-03,2.765552781056612730e-04,2.131296059815213084e-04,3.814313677139580250e-04,1.235548639670014381e-03,7.548735011368989944e-04,2.141446806490421295e-03,2.952904906123876572e-03,4.379143565893173218e-02,1.110913082957267761e-01,1.670788675546646118e-01,1.421653181314468384e-01,1.179502904415130615e-01,1.418181657791137695e-01,1.316003501415252686e-01,1.319494545459747314e-01
1.495429780334234238e-03,1.000411575660109520e-03,7.020605844445526600e-04,1.565468410262838006e-04,1.146413560491055250e-04,2.111220528604462743e-04,1.561742043122649193e-03,6.759068928658962250e-04,2.254481893032789230e-03,3.821813268586993217e-03,3.283411264419555664e-02,1.386406123638153076e-01,3.076250553131103516e-01,2.285749912261962891e-01,1.210779100656509399e-01,6.913208961486816406e-02,4.499202221632003784e-02,4.512901976704597473e-02
1.994491554796695709e-03,1.997300889343023300e-03,1.614456996321678162e-03,3.584422229323536158e-04,2.590423682704567909e-04,4.784640041179955006e-04,1.756025128997862339e-03,1.053041545674204826e-03,2.375239972025156021e-03,2.847951836884021759e-03,3.987405821681022644e-02,1.359372138977050781e-01,2.051645219326019287e-01,1.570784747600555420e-01,9.616975486278533936e-02,1.174814701080322266e-01,1.166222468018531799e-01,1.169378161430358887e-01
1.692584250122308731e-03,1.319536124356091022e-03,1.087060663849115372e-03,2.532637154217809439e-04,1.840700861066579819e-04,3.167356771882623434e-04,1.938029075972735882e-03,9.236779296770691872e-04,2.729682251811027527e-03,4.968963097780942917e-03,3.733041882514953613e-02,1.495239436626434326e-01,2.880721092224121094e-01,2.441116571426391602e-01,1.201896369457244873e-01,5.856138467788696289e-02,4.334902390837669373e-02,4.344817996025085449e-02
2.573945559561252594e-03,3.019271185621619225e-03,2.331838244572281837e-03,5.996647523716092110e-04,4.489771381486207247e-04,7.916014292277395725e-04,2.519091358408331871e-03,1.572954352013766766e-03,3.660111222416162491e-03,4.347652662545442581e-03,4.972200840711593628e-02,1.373821496963500977e-01,2.142914235591888428e-01,1.557086706161499023e-01,8.128469437360763550e-02,1.057713925838470459e-01,1.168242320418357849e-01,1.171503439545631409e-01
2.534592989832162857e-03,1.931214123032987118e-03,1.876699039712548256e-03,3.995736478827893734e-04,3.030090883839875460e-04,5.808029673062264919e-04,2.779221627861261368e-03,1.427721465006470680e-03,4.282038658857345581e-03,8.211244828999042511e-03,5.097939074039459229e-02,1.542648971080780029e-01,2.599248886108398438e-01,2.432340234518051147e-01,1.166811436414718628e-01,5.579575896263122559e-02,4.733364284038543701e-02,4.746016114950180054e-02
3.728231647983193398e-03,4.454179666936397552e-03,3.337319940328598022e-03,9.396911482326686382e-04,7.167791482061147690e-04,1.141734072007238865e-03,3.261584322899580002e-03,2.262551803141832352e-03,5.310836248099803925e-03,6.675357464700937271e-03,6.585196405649185181e-02,1.490055620670318604e-01,2.094215154647827148e-01,1.475221216678619385e-01,7.157629728317260742e-02,9.601877629756927490e-02,1.141765117645263672e-01,1.145989894866943359e-01
3.648442216217517853e-03,2.433470683172345161e-03,2.669631503522396088e-03,5.314466543495655060e-04,4.048537812195718288e-04,8.100972045212984085e-04,4.081830848008394241e-03,2.164270495995879173e-03,6.017399020493030548e-03,1.105194073170423508e-02,5.983641743659973145e-02,1.629321277141571045e-01,2.410515844821929932e-01,2.391903549432754517e-01,1.133951842784881592e-01,5.271867662668228149e-02,4.843683540821075439e-02,4.862543568015098572e-02
