8.685200214385986328e-01,1.271311789751052856e-01,1.042292351485230029e-04,4.277768675819970667e-05,5.163169771549291909e-05,2.790412327158264816e-05,7.871035450079943985e-06,1.576157519593834877e-03,1.154629862867295742e-03,9.845866588875651360e-05,5.789658098365180194e-05,8.257284061983227730e-04,1.295761467190459371e-04,6.141945777926594019e-05,6.857202970422804356e-05,3.159970447086379863e-06,4.809420715901069343e-05,9.073699038708582520e-05
1.736126542091369629e-01,4.609922170639038086e-01,2.921901941299438477e-01,7.563113700598478317e-03,6.681790109723806381e-04,2.002724213525652885e-03,3.123969538137316704e-03,6.496079149655997753e-04,2.031644806265830994e-03,1.124160946346819401e-03,1.435682352166622877e-04,3.241850994527339935e-03,2.244454808533191681e-04,6.870041601359844208e-03,3.465710906311869621e-03,2.496808394789695740e-02,9.587628766894340515e-03,7.540236692875623703e-03
2.078217081725597382e-02,2.274104207754135132e-01,5.153066515922546387e-01,1.897733509540557861e-01,1.079063280485570431e-03,3.564822487533092499e-03,2.750200219452381134e-03,2.078407676890492439e-03,5.243302439339458942e-04,6.743372417986392975e-03,1.735871424898505211e-03,1.377018867060542107e-03,1.754421857185661793e-03,1.997400773689150810e-03,5.281650461256504059e-03,3.317245747894048691e-03,9.285443462431430817e-03,5.238114856183528900e-03
3.085509408265352249e-03,2.375876938458532095e-04,1.321424543857574463e-01,6.131173968315124512e-01,2.490964829921722412e-01,2.499071124475449324e-04,1.183189851872157305e-05,6.125008803792297840e-05,5.209059600019827485e-05,1.016562455333769321e-03,5.411390520748682320e-05,2.388894608884584159e-05,1.524932595202699304e-04,1.469234211981529370e-05,4.066156689077615738e-04,3.685837509692646563e-05,1.508549030404537916e-04,8.944505680119618773e-05
1.357514644041657448e-03,3.934292908525094390e-05,5.699721514247357845e-04,3.718968033790588379e-01,4.977198243141174316e-01,1.271907389163970947e-01,4.639322651200927794e-05,1.649313162488397211e-05,3.219352802261710167e-04,1.767483190633356571e-04,1.029745835694484413e-04,6.125224899733439088e-05,8.031704783206805587e-05,6.346377631416544318e-05,1.976056773855816573e-05,1.249882334377616644e-04,1.107612188206985593e-04,1.007506143650971353e-04
5.495454533956944942e-04,3.516043943818658590e-04,8.041462861001491547e-03,8.769733831286430359e-04,2.587510347366333008e-01,5.860009193420410156e-01,1.268073916435241699e-01,1.026376266963779926e-03,1.192784475279040635e-04,3.996376472059637308e-04,9.745659190230071545e-04,5.057961679995059967e-04,4.764960904140025377e-04,1.728596253087744117e-04,1.943550596479326487e-04,4.696439020335674286e-03,7.129724603146314621e-03,2.925559412688016891e-03
1.847960229497402906e-04,6.530075334012508392e-04,5.888280575163662434e-04,1.320440438576042652e-03,9.854820091277360916e-04,1.548301875591278076e-01,4.817829132080078125e-01,3.255044221878051758e-01,8.679691818542778492e-04,5.902574048377573490e-04,5.025915452279150486e-04,1.999627711484208703e-04,6.048494018614292145e-03,1.293136388994753361e-03,6.962227053008973598e-04,5.495335790328681469e-04,1.014406327158212662e-02,1.325772888958454132e-02
2.066148445010185242e-03,1.159405219368636608e-03,1.936549902893602848e-03,2.011308679357171059e-04,1.607607409823685884e-04,1.373354345560073853e-03,3.690775632858276367e-01,4.749318063259124756e-01,1.257539540529251099e-01,4.566518764477223158e-04,4.039068589918315411e-04,4.726396407932043076e-03,1.739406143315136433e-03,6.879671127535402775e-04,1.154660130850970745e-03,1.237028627656400204e-03,5.328955594450235367e-03,7.604401558637619019e-03
6.926087371539324522e-05,3.122494672425091267e-04,3.156320235575549304e-05,9.482116183789912611e-06,5.520168087969068438e-06,2.221717004431411624e-04,2.653147093951702118e-04,1.258494108915328979e-01,7.427648305892944336e-01,1.300407946109771729e-01,3.868513886118307710e-05,7.820398604962974787e-05,7.025568606877641287e-07,3.363134965184144676e-05,1.344968404737301171e-05,3.617741094785742462e-05,1.293820532737299800e-04,9.916307317325845361e-05
1.545871724374592304e-03,6.594993465114384890e-05,8.016132596821989864e-06,1.394426508340984583e-04,4.311130032874643803e-05,8.022728252399247140e-06,1.310271472902968526e-04,2.496823981346096843e-05,3.763660490512847900e-01,4.171110689640045166e-01,2.034842073917388916e-01,1.948292920133098960e-04,1.050983246386749670e-05,2.117583062499761581e-04,5.945571319898590446e-05,3.568914544302970171e-04,8.736422023503109813e-05,1.514387840870767832e-04
2.047814661636948586e-03,4.860754052060656250e-05,2.821332018356770277e-04,4.955191616318188608e-05,1.131190583691932261e-04,5.341241921996697783e-05,1.205339322041254491e-05,2.876770486182067543e-05,9.199360385537147522e-03,1.467587351799011230e-01,6.349326372146606445e-01,1.982581913471221924e-01,7.507190108299255371e-03,3.075566783081740141e-04,3.334418215672485530e-05,7.913750596344470978e-05,1.487011031713336706e-04,1.396733132423833013e-04
1.440900814486667514e-04,1.982001231226604432e-05,2.616552228573709726e-04,7.130721351131796837e-04,4.151155371800996363e-05,3.953643317800015211e-05,5.031625187257304788e-05,5.358411362976767123e-05,5.475132493302226067e-04,4.545323899947106838e-04,1.255487203598022461e-01,7.449066638946533203e-01,1.264201998710632324e-01,7.215540244942530990e-05,9.273446266888640821e-06,7.282034493982791901e-05,3.326514561194926500e-04,3.118517925031483173e-04
1.211459766636835411e-05,1.603948476258665323e-06,7.981892849784344435e-06,3.426379043958149850e-05,3.432263838476501405e-06,3.913395630661398172e-06,3.296418581157922745e-04,1.195253389596473426e-05,3.515397111186757684e-05,1.404116028425050899e-05,4.154632042627781630e-04,1.261574774980545044e-01,7.475296258926391602e-01,1.250285208225250244e-01,7.774504047119989991e-05,6.152691867100656964e-07,6.180538912303745747e-05,2.746329992078244686e-04
5.183224566280841827e-03,6.311766337603330612e-04,1.821028185077011585e-03,3.055622428655624390e-02,2.334277611225843430e-03,5.956750363111495972e-03,1.072732266038656235e-04,4.493603191804140806e-04,2.217898843809962273e-03,3.909728548023849726e-04,4.643795639276504517e-02,1.862524077296257019e-02,1.316827535629272461e-01,6.088380217552185059e-01,1.383031904697418213e-01,1.408305135555565357e-03,2.425659680739045143e-03,2.630724571645259857e-03
1.072738785296678543e-03,1.100835361285135150e-04,7.149092853069305420e-04,1.432651042705401778e-04,8.609151700511574745e-05,2.028527087531983852e-04,5.727119278162717819e-04,6.950881215743720531e-04,1.109782140702009201e-03,4.512099549174308777e-04,1.291560474783182144e-03,7.228082511574029922e-03,1.792718097567558289e-02,1.501645445823669434e-01,6.891494989395141602e-01,1.263095885515213013e-01,1.810517162084579468e-03,9.603069047443568707e-04
