8.925879001617431641e-01,1.071671843528747559e-01,1.466988578613381833e-06,9.699208931124303490e-06,5.261479236651211977e-05,1.555372909933794290e-05,1.105443516280502081e-05,2.743721097431262024e-06,5.740035703638568521e-06,4.164607526035979390e-05,2.705516862988588400e-06,2.902741471189074218e-05,1.377965691062854603e-05,9.008495908346958458e-06,2.308877628820482641e-05,2.676932672329712659e-05
1.933373957872390747e-01,5.400913357734680176e-01,2.480603456497192383e-01,7.101209834218025208e-03,5.624242476187646389e-04,2.347264089621603489e-04,9.027007617987692356e-04,1.963783754035830498e-03,1.279028219869360328e-04,2.445319551043212414e-04,5.028126761317253113e-04,2.086517051793634892e-04,1.081364811398088932e-03,1.038036425597965717e-03,1.074591709766536951e-04,4.435291048139333725e-03
1.933319377712905407e-03,2.198897302150726318e-01,5.252146720886230469e-01,2.282653152942657471e-01,1.468190341256558895e-03,4.664237203542143106e-04,9.421994327567517757e-04,2.898640464991331100e-03,2.595074765849858522e-04,9.842078434303402901e-04,4.265173338353633881e-03,1.604054850758984685e-04,5.707077798433601856e-04,7.037217146717011929e-04,3.290048334747552872e-04,1.164877321571111679e-02
1.682156813330948353e-03,5.412389338016510010e-02,1.319347620010375977e-01,6.572505235671997070e-01,1.412939578294754028e-01,4.701363854110240936e-03,9.908718056976795197e-04,4.071398871019482613e-04,7.141142123145982623e-05,8.227859507314860821e-05,3.853544476442039013e-04,4.619620274752378464e-03,6.676463526673614979e-04,4.089090725756250322e-05,1.908220292534679174e-04,1.557357609272003174e-03
2.516695167287252843e-05,5.530445196200162172e-05,1.280639262404292822e-04,1.285452991724014282e-01,7.455323338508605957e-01,1.253494471311569214e-01,1.171760686702327803e-05,1.215939846588298678e-06,1.351261630588851403e-06,6.532196130137890577e-05,7.439221008098684251e-07,8.779882773524150252e-05,2.170220068364869803e-05,1.346071658190339804e-04,1.208316825795918703e-05,2.785783908620942384e-05
1.158296503126621246e-02,9.152698330581188202e-04,7.583915721625089645e-04,1.074904017150402069e-02,2.255433946847915649e-01,5.923963785171508789e-01,1.278488934040069580e-01,3.007947932928800583e-03,1.931985258124768734e-03,8.160489960573613644e-05,1.672006677836179733e-03,1.194632519036531448e-02,5.192683893255889416e-04,1.061543170362710953e-02,5.471548138302750885e-05,3.763988788705319166e-04
1.143977860920131207e-03,1.079250010661780834e-03,6.037977291271090508e-04,2.033741911873221397e-03,4.496270418167114258e-02,1.667762845754623413e-01,5.730520486831665039e-01,1.506604403257369995e-01,7.974067702889442444e-03,1.809606037568300962e-04,4.763125907629728317e-03,1.897672540508210659e-03,4.993373528122901917e-03,2.308556111529469490e-03,1.772283809259533882e-03,3.579770773649215698e-02
1.848600222729146481e-03,5.330526619218289852e-04,7.764916517771780491e-05,9.085491765290498734e-04,3.577202092856168747e-03,7.852645590901374817e-03,1.451427340507507324e-01,7.013767957687377930e-01,1.295180767774581909e-01,3.977091109845787287e-04,6.567860837094485760e-04,4.527361597865819931e-03,3.051579406019300222e-04,2.635691780596971512e-04,1.494366792030632496e-03,1.519769313745200634e-03
1.696419529616832733e-02,2.895279787480831146e-03,5.249770474620163441e-04,1.043664524331688881e-03,9.284742176532745361e-03,1.730647869408130646e-02,8.398536592721939087e-03,2.860342264175415039e-01,4.999453425407409668e-01,1.268375217914581299e-01,1.701443572528660297e-03,3.072879277169704437e-03,2.967801876366138458e-03,3.707630094140768051e-03,1.317221322096884251e-03,1.799806952476501465e-02
9.908695938065648079e-05,1.343433104921132326e-04,3.255314193665981293e-03,1.463912485633045435e-05,1.311801170231774449e-04,1.859492622315883636e-04,4.604317073244601488e-04,3.552985144779086113e-03,1.304727494716644287e-01,5.979461073875427246e-01,2.501012682914733887e-01,1.709656498860567808e-04,6.339465471683070064e-05,3.346718222019262612e-05,3.663538373075425625e-04,1.301175635308027267e-02
