5.992074012756347656e-01,9.439554810523986816e-02,4.291432350873947144e-02,4.917009919881820679e-02,3.634694963693618774e-02,2.537718787789344788e-02,6.909132935106754303e-03,6.189853884279727936e-03,1.471135579049587250e-02,7.935269735753536224e-03,6.430649198591709137e-03,3.599739167839288712e-03,1.153121888637542725e-02,4.971662536263465881e-03,4.325489513576030731e-03,7.867737673223018646e-03,1.986405253410339355e-02,1.684188470244407654e-02,2.066042646765708923e-02,2.075003273785114288e-02
5.884685516357421875e-01,1.985617578029632568e-01,5.556901544332504272e-02,3.210850059986114502e-02,9.412330575287342072e-03,3.432995406910777092e-03,3.842863952741026878e-03,1.904267701320350170e-03,3.055810928344726562e-03,3.615456400439143181e-03,2.447509206831455231e-03,1.098318723961710930e-03,7.765929214656352997e-03,2.062698826193809509e-03,1.200674567371606827e-03,5.114665254950523376e-03,3.178060054779052734e-02,1.955801807343959808e-02,1.478996872901916504e-02,1.421004906296730042e-02
5.299133062362670898e-01,1.015060469508171082e-01,4.633240029215812683e-02,4.137304797768592834e-02,4.108870774507522583e-02,2.453242056071758270e-02,1.370659656822681427e-02,9.317924268543720245e-03,2.407596074044704437e-02,5.445543676614761353e-03,3.848500084131956100e-03,2.050465671345591545e-03,1.198710687458515167e-02,4.539369605481624603e-03,3.475603414699435234e-03,1.558907143771648407e-02,3.376731649041175842e-02,2.801306173205375671e-02,2.928088605403900146e-02,3.015670552849769592e-02
4.539829194545745850e-01,3.319330513477325439e-02,2.727024815976619720e-02,2.884624153375625610e-02,3.540944680571556091e-02,5.541038140654563904e-02,3.133859485387802124e-02,1.344661042094230652e-02,5.782203376293182373e-02,2.812594920396804810e-02,1.162103936076164246e-02,2.793548163026571274e-03,2.358043007552623749e-02,2.242600917816162109e-02,1.164707541465759277e-02,2.614222466945648193e-02,4.479537531733512878e-02,3.069864213466644287e-02,3.036265634000301361e-02,3.108728677034378052e-02
5.430980324745178223e-01,2.196712791919708252e-02,1.660190336406230927e-02,2.002585679292678833e-02,1.717016845941543579e-02,1.460102945566177368e-02,9.839228354394435883e-03,6.999396719038486481e-03,1.646284945309162140e-02,7.634095847606658936e-03,9.875580668449401855e-03,2.497006207704544067e-03,2.497777342796325684e-02,5.323290359228849411e-03,6.928829476237297058e-03,7.354514300823211670e-02,6.314763426780700684e-02,5.697607994079589844e-02,4.148364812135696411e-02,4.084538668394088745e-02
5.257103443145751953e-01,2.402112446725368500e-02,1.650425419211387634e-02,1.589273661375045776e-02,1.213506609201431274e-02,1.497620623558759689e-02,1.723904721438884735e-02,7.373130880296230316e-03,1.378336362540721893e-02,5.347157828509807587e-03,6.827624049037694931e-03,3.679536283016204834e-03,2.512033656239509583e-02,8.530206046998500824e-03,7.144253700971603394e-03,6.016304716467857361e-02,1.083719059824943542e-01,5.444192886352539062e-02,3.699010610580444336e-02,3.574862703680992126e-02
5.824774503707885742e-01,1.931942254304885864e-02,1.401534117758274078e-02,9.500955231487751007e-03,6.002520211040973663e-03,5.104609299451112747e-03,1.552922837436199188e-02,6.869605742394924164e-03,5.661348812282085419e-03,8.110810071229934692e-03,6.501499097794294357e-03,6.270579062402248383e-03,1.798680424690246582e-02,3.003793768584728241e-02,1.104814466089010239e-02,3.252872079610824585e-02,1.638534069061279297e-01,2.919716760516166687e-02,1.502981595695018768e-02,1.495468989014625549e-02
5.702184438705444336e-01,2.399925142526626587e-02,1.867629960179328918e-02,1.291389297693967819e-02,9.036714211106300354e-03,2.261374890804290771e-02,1.098111551254987717e-02,1.711977273225784302e-02,2.484606765210628510e-02,1.003794744610786438e-02,7.427609991282224655e-03,4.269726108759641647e-03,2.760211937129497528e-02,7.703843992203474045e-03,6.634831428527832031e-03,5.515998229384422302e-02,9.799468517303466797e-02,2.991865575313568115e-02,2.140246145427227020e-02,2.144280634820461273e-02
4.461216330528259277e-01,5.017178598791360855e-03,5.797143559902906418e-03,7.225524168461561203e-03,7.333980873227119446e-03,4.834545776247978210e-02,3.221777826547622681e-02,1.341583393514156342e-02,3.631098195910453796e-02,7.853499054908752441e-02,3.767057508230209351e-02,7.216335739940404892e-03,3.859775513410568237e-02,4.037066549062728882e-02,1.750835590064525604e-02,8.923479169607162476e-02,3.154183179140090942e-02,1.676937751471996307e-02,1.992406323552131653e-02,2.084581181406974792e-02
5.425810813903808594e-01,4.331328906118869781e-03,4.050052259117364883e-03,3.616288304328918457e-03,4.200549796223640442e-03,2.094152942299842834e-02,3.357422351837158203e-02,1.291653793305158615e-02,1.522270962595939636e-02,1.274476498365402222e-01,5.879886075854301453e-02,1.173538248986005783e-02,2.984265983104705811e-02,3.709463775157928467e-02,2.778832428157329559e-02,2.913132868707180023e-02,8.632333017885684967e-03,6.903256755322217941e-03,1.030403003096580505e-02,1.088727824389934540e-02
