4.097057580947875977e-01,3.416097164154052734e-02,2.500421367585659027e-02,2.355886995792388916e-02,2.520739100873470306e-02,2.427538111805915833e-02,2.389408648014068604e-02,2.150293253362178802e-02,2.421384118497371674e-02,2.591805532574653625e-02,2.756149135529994965e-02,2.131101489067077637e-02,2.712026238441467285e-02,2.471320703625679016e-02,2.315496280789375305e-02,3.297876939177513123e-02,2.174390479922294617e-02,2.626600675284862518e-02,5.749714374542236328e-02,1.002117246389389038e-01
3.474968373775482178e-01,2.054978609085083008e-01,1.341135203838348389e-01,8.856622874736785889e-02,2.865718305110931396e-02,1.329486258327960968e-02,3.128359559923410416e-03,3.005674108862876892e-03,6.660410203039646149e-03,6.649469025433063507e-03,4.412417300045490265e-03,1.682127243839204311e-03,9.989226236939430237e-03,3.833276685327291489e-03,3.995163366198539734e-03,4.262398928403854370e-03,2.786139957606792450e-02,1.506119221448898315e-02,4.435406625270843506e-02,4.747830331325531006e-02
2.140347659587860107e-01,1.791548728942871094e-01,1.754406988620758057e-01,1.293320953845977783e-01,5.484948679804801941e-02,1.108314003795385361e-02,1.386767067015171051e-02,7.646279409527778625e-03,9.873528033494949341e-03,4.681069869548082352e-03,9.440476074814796448e-03,3.867232240736484528e-03,7.460267283022403717e-03,1.234743744134902954e-02,5.057604983448982239e-03,7.373041938990354538e-03,7.534296810626983643e-02,2.167654037475585938e-02,2.796126902103424072e-02,2.950958907604217529e-02
1.953346431255340576e-01,1.499031931161880493e-01,1.610971391201019287e-01,1.086449772119522095e-01,1.117320880293846130e-01,1.461067050695419312e-02,1.257730834186077118e-02,8.959645405411720276e-03,3.023288026452064514e-02,5.328360479325056076e-03,6.932353600859642029e-03,5.842906888574361801e-03,1.491485815495252609e-02,5.271235480904579163e-03,9.107205085456371307e-03,1.459597796201705933e-02,6.694179028272628784e-02,2.416311763226985931e-02,2.571604214608669281e-02,2.809367142617702484e-02
3.136667609214782715e-01,6.413429975509643555e-02,5.646238848567008972e-02,1.327769905328750610e-01,1.128323972225189209e-01,1.079827547073364258e-01,1.245754957199096680e-02,6.564513780176639557e-03,5.184011161327362061e-02,4.869774915277957916e-03,4.538679495453834534e-03,2.636127173900604248e-03,1.668696105480194092e-02,2.597125014290213585e-03,3.923778422176837921e-03,4.576438572257757187e-03,3.309502080082893372e-02,1.759025827050209045e-02,2.483487874269485474e-02,2.593320421874523163e-02
3.839929103851318359e-01,1.139106601476669312e-02,1.015343703329563141e-02,1.426391489803791046e-02,7.020801305770874023e-02,1.994221508502960205e-01,6.815823912620544434e-02,4.703506082296371460e-02,9.455089271068572998e-02,1.716428063809871674e-02,5.493570119142532349e-03,8.466987870633602142e-03,2.222991548478603363e-02,4.054737742990255356e-03,2.891150768846273422e-03,7.854333147406578064e-03,4.384136758744716644e-03,4.044960252940654755e-03,1.180829107761383057e-02,1.243199687451124191e-02
3.139754831790924072e-01,5.923955701291561127e-03,6.797220557928085327e-03,5.471928045153617859e-03,1.630510389804840088e-02,1.197536885738372803e-01,2.088683098554611206e-01,1.419961452484130859e-01,6.337478756904602051e-02,7.522537838667631149e-03,2.939756773412227631e-02,1.131196320056915283e-02,7.213178556412458420e-03,2.151659131050109863e-02,4.296549595892429352e-03,7.062716409564018250e-03,5.264723207801580429e-03,4.544742405414581299e-03,9.461294859647750854e-03,9.941522032022476196e-03
2.766135931015014648e-01,4.910583142191171646e-03,6.248743738979101181e-03,6.144190207123756409e-03,1.618013717234134674e-02,7.155632972717285156e-02,1.551677435636520386e-01,1.627657264471054077e-01,1.697594821453094482e-01,1.517519541084766388e-02,2.198953181505203247e-02,2.569054812192916870e-02,1.856683939695358276e-02,4.253492224961519241e-03,3.158570965752005577e-03,9.541360661387443542e-03,5.773650016635656357e-03,5.577098112553358078e-03,1.019707601517438889e-02,1.073013246059417725e-02
2.063510864973068237e-01,1.382962148636579514e-02,4.423276986926794052e-03,1.633615419268608093e-02,4.021235927939414978e-02,1.272459179162979126e-01,3.047002479434013367e-02,1.446508020162582397e-01,1.551398038864135742e-01,6.404589861631393433e-02,3.249792009592056274e-02,2.134092524647712708e-02,5.339042097330093384e-02,4.402964841574430466e-03,5.150374956429004669e-03,2.973352000117301941e-02,4.638778045773506165e-03,9.430659934878349304e-03,1.755193620920181274e-02,1.915759220719337463e-02
4.032363891601562500e-01,5.236912518739700317e-03,4.558188840746879578e-03,2.905429108068346977e-03,4.928380716592073441e-03,6.776197813451290131e-03,1.057339739054441452e-02,1.600860804319381714e-02,8.121915161609649658e-02,1.533363610506057739e-01,1.481248736381530762e-01,3.796284273266792297e-02,4.970879480242729187e-02,6.763623096048831940e-03,4.258021712303161621e-03,1.076397672295570374e-02,1.364384125918149948e-02,8.503003045916557312e-03,1.556942146271467209e-02,1.592263020575046539e-02
