1.725340378470718861e-03,5.115314386785030365e-03,6.607152039318212565e-03,1.929661724716424942e-03,4.733317531645298004e-03,3.480507060885429382e-03,1.148776710033416748e-02,1.210287911817431450e-03,1.683705858886241913e-02,1.386415585875511169e-02,1.999033614993095398e-02,4.284107089042663574e-01,4.449654519557952881e-01
6.218718886375427246e-01,2.180125191807746887e-02,9.971480716818145653e-04,1.824991661123931408e-03,8.548291516490280628e-04,6.172774592414498329e-04,2.211713464930653572e-03,1.449440605938434601e-03,4.502848896663635969e-04,1.922428724355995655e-03,7.516702637076377869e-03,1.607746928930282593e-01,1.717244982719421387e-01
1.738633718341588974e-01,2.354856827961546994e-01,2.971052314981590184e-02,3.385814438973154539e-02,4.190696995439274070e-02,1.657612599748452958e-02,2.130690593538539790e-01,5.843904896755702794e-02,9.541191767701613516e-04,1.054294286794694438e-03,2.341055294631847437e-03,7.375165100841384221e-03,7.103320456475817855e-03
2.345239743590354919e-02,1.017998754978179932e-01,1.181290714635646749e-01,1.641242019832134247e-02,9.006481617689132690e-03,7.838595192879438400e-04,1.273054257035255432e-02,1.244932762347161770e-03,6.015659309923648834e-04,3.321980591863393784e-03,1.111997989937663078e-03,1.331195118837058544e-03,1.299244933761656284e-03
4.087810218334197998e-02,5.124438554048538208e-02,5.064506635868123302e-02,4.286416172981262207e-01,8.197518438100814819e-02,9.843055158853530884e-03,7.750959601253271103e-03,1.316777430474758148e-03,9.737121872603893280e-04,7.737669162452220917e-03,1.741662272252142429e-03,6.605267059057950974e-03,6.776201538741588593e-03
3.637885302305221558e-02,1.141606736928224564e-02,5.555373499685499483e-02,1.040654331445693970e-01,3.522216975688934326e-01,1.392620056867599487e-02,9.044926613569259644e-02,3.488502989057451487e-04,1.109679578803479671e-04,2.613047254271805286e-04,1.415031001670286059e-04,8.858471410349011421e-04,9.178910986520349979e-04
1.021225824952125549e-01,5.886635743081569672e-03,1.294425312724862588e-02,4.406880214810371399e-02,4.697735905647277832e-01,1.392967402935028076e-01,1.398135274648666382e-01,4.211386665701866150e-03,7.934951281640678644e-05,1.095226383768022060e-03,3.907044010702520609e-04,1.348526100628077984e-03,1.303154975175857544e-03
1.791936717927455902e-02,3.923893440514802933e-03,4.950855514367243776e-02,9.404706768691539764e-03,2.255933173000812531e-02,4.143701493740081787e-02,5.460481047630310059e-01,1.090983301401138306e-02,6.277154316194355488e-04,2.593812241684645414e-04,4.962477760273031890e-05,1.517265918664634228e-04,1.494667667429894209e-04
7.706452161073684692e-03,1.123017980717122555e-03,4.619771546484636310e-02,1.845790818333625793e-02,8.700759708881378174e-02,1.334524527192115784e-02,1.237342208623886108e-01,3.979201018810272217e-01,1.552033610641956329e-02,6.244861055165529251e-03,3.613693173974752426e-03,9.330256143584847450e-04,1.009562518447637558e-03
2.211218886077404022e-02,3.018733114004135132e-03,9.372778582785810941e-02,3.040807507932186127e-02,6.102260574698448181e-02,7.484418340027332306e-03,4.003672301769256592e-02,1.283518373966217041e-01,1.696282625198364258e-02,7.419393397867679596e-03,6.930173840373754501e-03,9.762263856828212738e-03,1.039625611156225204e-02
3.954368457198143005e-02,2.639577956870198250e-03,4.863653957311596387e-02,1.442654617130756378e-02,4.099148884415626526e-02,5.861530080437660217e-03,1.358063519001007080e-01,8.265757560729980469e-02,1.330673098564147949e-01,1.548563539981842041e-01,3.405239433050155640e-02,7.696587592363357544e-03,7.944786921143531799e-03
2.631758339703083038e-02,1.009542960673570633e-03,2.224658709019422531e-02,2.083719521760940552e-02,6.024459376931190491e-02,5.643161479383707047e-03,1.418359726667404175e-01,5.877358466386795044e-02,1.297637224197387695e-01,3.277220427989959717e-01,6.143865361809730530e-02,5.302278790622949600e-03,5.385531112551689148e-03
2.588301151990890503e-02,1.029825536534190178e-03,2.217840849022780295e-02,2.023831196129322052e-02,6.073043495416641235e-02,5.695079453289508820e-03,1.471560001373291016e-01,6.027732789516448975e-02,1.234117448329925537e-01,3.290054798126220703e-01,6.132800132036209106e-02,4.968310240656137466e-03,5.027620587497949600e-03
