token,attention_sum
<s>,14.5368
본인,0.3736
스스⋄,0.5245
로가,0.4609
원⋄,0.8891
하는지,0.6901
아닌⋄,0.5622
지,0.3530
모르는,0.9781
상황에서,0.9595
원⋄,0.1027
치,0.1872
않는,0.3445
정보를,0.7473
오픈⋄,0.3864
하는,0.2653
건,0.2169
프라이⋄,0.1403
버⋄,0.1517
시,0.4708
침⋄,0.6437
해가,0.7204
될,0.4112
것,0.1767
같다,0.1346
.,0.2833
</s>,0.2893
