token,attention_sum
<s>,0.6753
본인,1.0133
스스⋄,1.1708
로가,0.9512
원⋄,0.9108
하는지,0.9983
아닌⋄,0.8388
지,0.8480
모르는,1.3918
상황에서,1.1154
원⋄,0.9073
치,0.7497
않는,1.1983
정보를,1.1511
오픈⋄,1.2263
하는,0.8147
건,0.9156
프라이⋄,1.3271
버⋄,0.7659
시,0.8886
침⋄,0.8883
해가,1.1884
될,1.0550
것,0.8901
같다,1.4365
.,0.7460
</s>,0.9375
