token,attention_sum
<s>,13.5517
Op⋄,0.7071
ening,1.1076
un⋄,0.4849
wanted,1.0022
information,0.5106
in,0.6172
a,0.4517
situation,0.5337
where,0.5732
you,0.6268
don,0.5004
&apos;t,0.3678
know,0.6387
if,0.4154
you,0.4173
want,0.4915
it,0.6193
yourself,0.1886
will,0.3948
be,0.4598
a,0.5904
priv⋄,0.2622
acy,0.2512
violation,0.1544
.,0.0813
