token,attention_sum
<s>,18.8110
Op⋄,0.1993
ening,0.7724
un⋄,0.2248
wanted,0.4448
information,0.2743
in,0.3413
a,0.2876
situation,0.2838
where,0.3809
you,0.5248
don,0.2423
&apos;t,0.1850
know,0.2988
if,0.3358
you,0.2226
want,0.4893
it,0.2305
yourself,0.1104
will,0.2808
be,0.2203
a,0.3370
priv⋄,0.0756
acy,0.1806
violation,0.1297
.,0.1162
