1.019208505749702454e-01,5.029804259538650513e-02,4.446278512477874756e-02,5.541660636663436890e-02,3.297582641243934631e-02,2.242002636194229126e-02,2.864754572510719299e-02,2.708993665874004364e-02,7.095331698656082153e-02,2.755710482597351074e-02,3.077146038413047791e-02,1.431539002805948257e-02,2.031569927930831909e-02,4.465489089488983154e-02,4.249807819724082947e-02,6.270395964384078979e-02,5.759040266275405884e-02,5.809982866048812866e-02,5.208487063646316528e-02,2.945785224437713623e-02,2.724794857203960419e-02,3.478628769516944885e-02,3.178586438298225403e-02,3.194547444581985474e-02
9.446813464164733887e-01,1.174481934867799282e-03,2.312388736754655838e-03,1.932353246957063675e-03,1.442187931388616562e-02,2.687521278858184814e-03,7.262500002980232239e-04,8.970316848717629910e-04,4.773559514433145523e-03,3.546137828379869461e-03,3.936456050723791122e-03,6.491458043456077576e-04,2.229918725788593292e-03,7.900363998487591743e-04,3.801471029873937368e-04,5.331227555871009827e-03,1.539673656225204468e-03,1.593844266608357430e-03,3.973628045059740543e-04,2.377849596086889505e-04,3.909468068741261959e-04,8.561569266021251678e-04,2.143222372978925705e-03,2.371091395616531372e-03
9.383251667022705078e-01,2.207062672823667526e-03,3.410213859751820564e-03,3.790206974372267723e-03,1.690012402832508087e-02,4.730923566967248917e-03,8.607545751146972179e-04,1.463166903704404831e-03,3.585297614336013794e-03,1.950612990185618401e-03,3.019143361598253250e-03,1.547235588077455759e-04,8.222695905715227127e-04,1.659549772739410400e-03,7.764383335597813129e-04,6.782595999538898468e-03,1.380965462885797024e-03,1.597420079633593559e-03,2.161141164833679795e-04,9.621436038287356496e-05,1.887596445158123970e-04,7.785404450260102749e-04,2.563252346590161324e-03,2.740642521530389786e-03
9.525162577629089355e-01,1.219988917000591755e-03,2.092139096930623055e-03,1.926634693518280983e-03,1.310955174267292023e-02,2.893958007916808128e-03,7.493727607652544975e-04,1.286229933612048626e-03,2.986927283927798271e-03,1.023538759909570217e-03,2.668467117473483086e-03,1.149203599197790027e-04,6.213309243321418762e-04,1.747503411024808884e-03,1.051784958690404892e-03,5.965772550553083420e-03,1.048364443704485893e-03,1.192781375721096992e-03,1.770351518644019961e-04,8.966726454673334956e-05,2.197488356614485383e-04,7.660652627237141132e-04,2.181851770728826523e-03,2.350155264139175415e-03
6.912393569946289062e-01,2.211080864071846008e-03,1.512777409516274929e-03,1.167649985291063786e-03,3.088563866913318634e-02,3.942918777465820312e-02,8.355510234832763672e-02,3.072259761393070221e-02,2.288316003978252411e-02,3.064337000250816345e-02,1.158858928829431534e-02,5.709769669920206070e-03,6.026759743690490723e-03,5.991381593048572540e-03,6.539942696690559387e-03,4.303540568798780441e-03,2.274285536259412766e-03,2.039894228801131248e-03,1.536581199616193771e-02,1.097074244171380997e-03,6.500048912130296230e-04,5.757221952080726624e-04,1.765691908076405525e-03,1.821596873924136162e-03
2.914880216121673584e-01,2.541071626183111221e-05,1.839101059886161238e-05,1.347339730273233727e-05,2.927324362099170685e-02,7.929010316729545593e-03,4.834627211093902588e-01,3.452530503273010254e-02,1.168701332062482834e-02,5.453427135944366455e-02,2.697984129190444946e-02,1.450843270868062973e-02,1.780718751251697540e-02,3.363510826602578163e-03,1.640708767808973789e-03,1.566200953675433993e-04,3.679979708977043629e-04,2.226877113571390510e-04,2.116571366786956787e-02,3.674351028166711330e-04,1.485994725953787565e-04,4.978840661351568997e-05,1.219137484440580010e-04,1.427152456017211080e-04
5.475506782531738281e-01,4.767184611409902573e-03,2.437929855659604073e-03,1.879330142401158810e-03,6.296671181917190552e-02,2.891165204346179962e-02,1.516148820519447327e-02,1.383303385227918625e-02,1.503273844718933105e-02,4.074833914637565613e-02,2.974656783044338226e-02,4.593208432197570801e-03,1.819036155939102173e-02,5.354653671383857727e-02,8.807062357664108276e-02,8.770218119025230408e-03,2.463302342221140862e-03,4.128202795982360840e-03,1.478353701531887054e-02,7.236997131258249283e-03,3.064373740926384926e-03,5.296189803630113602e-03,1.379224471747875214e-02,1.302859839051961899e-02
3.941434621810913086e-01,2.239281684160232544e-02,2.946717664599418640e-02,1.852984912693500519e-02,2.595855109393596649e-02,3.113830275833606720e-02,1.395414769649505615e-02,4.115513339638710022e-02,2.423965744674205780e-02,4.120529070496559143e-02,4.438503459095954895e-02,7.903882302343845367e-03,1.871433295309543610e-02,3.347614780068397522e-02,6.279131025075912476e-02,1.211053319275379181e-02,1.826988765969872475e-03,2.475345740094780922e-03,9.179005399346351624e-03,1.401959545910358429e-02,8.835575543344020844e-03,2.317347936332225800e-02,6.198729202151298523e-02,5.693711340427398682e-02
3.872994184494018555e-01,1.340270042419433594e-03,5.625899648293852806e-04,5.077724927105009556e-04,2.992348372936248779e-02,4.759872332215309143e-03,5.676651839166879654e-03,1.301296520978212357e-03,5.897169001400470734e-03,7.691767811775207520e-02,1.186164617538452148e-01,7.198754698038101196e-03,2.751292474567890167e-02,5.972607806324958801e-02,1.544301807880401611e-01,2.261420153081417084e-02,3.142581088468432426e-03,1.964030787348747253e-03,3.669673204421997070e-02,1.572450064122676849e-02,6.254883948713541031e-03,8.534904569387435913e-03,1.185567956417798996e-02,1.154183596372604370e-02
8.266195654869079590e-01,1.459983905078843236e-04,3.980263136327266693e-05,4.442515273694880307e-05,1.186861284077167511e-02,6.766156759113073349e-03,7.716699037700891495e-03,3.274193499237298965e-03,2.311562746763229370e-02,1.153725292533636093e-02,1.125845592468976974e-02,1.013815402984619141e-03,1.477156416513025761e-03,6.179382652044296265e-02,1.432656310498714447e-02,2.907089190557599068e-03,6.930562667548656464e-03,3.188226139172911644e-03,4.977654665708541870e-03,9.923947072820737958e-05,1.205303124152123928e-04,3.367045719642192125e-04,2.185790217481553555e-04,2.233020204585045576e-04
