6.344855576753616333e-02,1.613537408411502838e-02,1.946208998560905457e-02,9.982226416468620300e-03,8.965689688920974731e-03,4.978582262992858887e-02,3.897468149662017822e-01,3.680864349007606506e-03,4.300496540963649750e-03,2.733386121690273285e-02,3.868846595287322998e-02,3.073316626250743866e-02,1.300287339836359024e-02,1.255751587450504303e-02,2.464679628610610962e-02,2.529368922114372253e-02,3.380404785275459290e-02,1.128571778535842896e-01,1.155745089054107666e-01
5.058702230453491211e-01,1.050823740661144257e-02,6.478074938058853149e-03,2.678156597539782524e-03,1.995320897549390793e-03,2.137811854481697083e-02,1.294136233627796173e-02,4.708140157163143158e-03,8.269579149782657623e-03,3.312117606401443481e-02,1.245672181248664856e-01,7.898969575762748718e-03,2.138623408973217010e-02,3.750686720013618469e-02,2.844666689634323120e-02,3.109759278595447540e-02,4.829524457454681396e-02,4.626829177141189575e-02,4.658459499478340149e-02
2.135560661554336548e-01,2.507983939722180367e-03,4.641067702323198318e-03,2.237110864371061325e-03,2.554990816861391068e-03,2.192358486354351044e-02,3.307194113731384277e-01,1.917771622538566589e-02,1.043384708464145660e-02,4.531912505626678467e-02,1.956070214509963989e-01,4.606474936008453369e-02,1.846023090183734894e-02,2.850876189768314362e-02,2.180100977420806885e-02,1.303366012871265411e-02,5.006708204746246338e-03,9.092780761420726776e-03,9.354066103696823120e-03
4.414775371551513672e-01,2.769732614979147911e-03,1.710296841338276863e-03,8.218162693083286285e-04,8.273327257484197617e-04,9.186955168843269348e-03,1.405182108283042908e-02,8.143560029566287994e-03,4.416657611727714539e-03,2.881038933992385864e-02,2.098008543252944946e-01,2.650615200400352478e-02,2.483717352151870728e-02,5.059479549527168274e-02,5.336426943540573120e-02,5.494947358965873718e-02,3.527331352233886719e-02,1.613926514983177185e-02,1.631862111389636993e-02
1.231928616762161255e-01,1.275740331038832664e-03,7.797736907377839088e-04,3.733076446224004030e-04,4.460846539586782455e-04,2.918472513556480408e-03,8.343358524143695831e-03,1.108266692608594894e-02,1.610528910532593727e-03,1.314605325460433960e-01,2.820456624031066895e-01,8.255209028720855713e-02,3.286642208695411682e-02,8.168501406908035278e-02,1.142973825335502625e-01,6.121482327580451965e-02,2.543054148554801941e-02,1.916853524744510651e-02,1.925618387758731842e-02
6.509647369384765625e-01,9.313791524618864059e-04,6.958339363336563110e-04,3.655146865639835596e-04,5.266409134492278099e-04,3.082358743995428085e-03,3.531908616423606873e-02,1.022373698651790619e-02,1.442841254174709320e-02,4.123293980956077576e-02,9.865345060825347900e-02,3.357305377721786499e-02,1.169075444340705872e-02,1.903788745403289795e-02,1.023457106202840805e-02,1.128273829817771912e-02,6.626633461564779282e-03,2.552550658583641052e-02,2.560469135642051697e-02
7.432130575180053711e-01,3.140225540846586227e-03,1.251927809789776802e-03,6.327156443148851395e-04,8.250640821643173695e-04,2.891576383262872696e-03,1.588269881904125214e-02,9.504769928753376007e-03,1.208116393536329269e-02,1.883494481444358826e-02,6.678289175033569336e-02,1.552174892276525497e-02,9.083441458642482758e-03,2.063491195440292358e-02,1.698203012347221375e-02,3.132522106170654297e-02,1.047111302614212036e-02,1.042121276259422302e-02,1.051927637308835983e-02
6.777023673057556152e-01,2.435396425426006317e-03,3.765133442357182503e-03,2.210313221439719200e-03,2.802505157887935638e-03,8.178452029824256897e-03,6.860234308987855911e-03,1.556581445038318634e-02,4.361603409051895142e-03,3.017264418303966522e-02,6.066303327679634094e-02,3.936662152409553528e-02,1.891801133751869202e-02,4.787924513220787048e-02,1.702923141419887543e-02,1.834996975958347321e-02,1.040375605225563049e-02,1.649481803178787231e-02,1.684085279703140259e-02
6.815791130065917969e-01,1.157304504886269569e-03,3.039849456399679184e-03,1.479462021961808205e-03,1.672205165959894657e-03,6.372083444148302078e-03,7.387210428714752197e-02,6.545620970427989960e-03,3.048834158107638359e-03,4.016426205635070801e-02,6.502284109592437744e-02,5.592143163084983826e-02,7.779607083648443222e-03,1.319426391273736954e-02,8.676361292600631714e-03,6.723993923515081406e-03,2.174585359171032906e-03,1.064593251794576645e-02,1.093020197004079819e-02
1.618974953889846802e-01,2.315678400918841362e-03,9.361256379634141922e-04,5.124027375131845474e-04,7.676503737457096577e-04,5.783526226878166199e-03,1.728673279285430908e-02,8.670205622911453247e-02,1.039320975542068481e-02,3.330291211605072021e-01,2.358095943927764893e-01,7.801312208175659180e-02,1.090706698596477509e-02,3.454439714550971985e-02,1.052238699048757553e-02,1.374756218865513802e-03,4.526149132288992405e-04,4.323095083236694336e-03,4.428979475051164627e-03
