4.288057684898376465e-01,4.154581576585769653e-02,3.545857593417167664e-02,2.082800678908824921e-02,2.294928207993507385e-02,3.838085383176803589e-02,4.030329734086990356e-02,2.459114044904708862e-02,2.764834091067314148e-02,2.826364710927009583e-02,2.538135461509227753e-02,2.509190700948238373e-02,2.563779428601264954e-02,2.020213939249515533e-02,2.979542687535285950e-02,4.047737270593643188e-02,1.246392875909805298e-01
4.388514161109924316e-01,2.372421026229858398e-01,6.657569110393524170e-02,1.872665435075759888e-02,4.336298257112503052e-02,1.860206387937068939e-02,9.125804156064987183e-02,4.332127049565315247e-03,2.902608830481767654e-03,7.532163523137569427e-03,3.210442606359720230e-03,1.860850257799029350e-03,4.947259090840816498e-03,6.135977804660797119e-03,6.504210643470287323e-03,1.376098394393920898e-02,3.419445827603340149e-02
4.556484222412109375e-01,8.417644351720809937e-02,1.453932225704193115e-01,1.337353885173797607e-01,8.023136854171752930e-02,1.731162518262863159e-02,2.850715816020965576e-02,2.880364656448364258e-03,3.929719794541597366e-03,3.495673183351755142e-03,3.351121908053755760e-03,2.031897660344839096e-03,6.611806340515613556e-03,1.907156780362129211e-03,2.661744598299264908e-03,1.204407494515180588e-02,1.608285680413246155e-02
3.311494588851928711e-01,6.745897233486175537e-02,1.389604061841964722e-01,1.259874403476715088e-01,1.691478341817855835e-01,4.789293929934501648e-02,5.080034583806991577e-02,2.212014514952898026e-03,8.700275793671607971e-03,3.630463033914566040e-03,4.871618468314409256e-03,6.726449355483055115e-03,1.187545713037252426e-02,2.371143084019422531e-03,4.988774657249450684e-03,1.022884249687194824e-02,1.299760770052671432e-02
3.203848302364349365e-01,7.779789716005325317e-02,5.202060937881469727e-02,1.129980906844139099e-01,1.904115080833435059e-01,8.273591101169586182e-02,9.736390411853790283e-02,3.397949505597352982e-03,4.426423460245132446e-03,7.931500673294067383e-03,3.593105822801589966e-03,3.830645000562071800e-03,1.042136363685131073e-02,3.075810614973306656e-03,4.524038173258304596e-03,9.068742394447326660e-03,1.601770706474781036e-02
3.641871809959411621e-01,2.975702285766601562e-02,1.388213410973548889e-02,2.677522972226142883e-02,1.005625873804092407e-01,2.104910463094711304e-01,1.664103269577026367e-01,7.188127841800451279e-03,1.233289390802383423e-02,1.293238531798124313e-02,5.708476062864065170e-03,1.170710474252700806e-02,5.393607541918754578e-03,5.929660052061080933e-03,1.003286615014076233e-02,6.264480762183666229e-03,1.044495962560176849e-02
2.822608351707458496e-01,5.792974680662155151e-02,1.560379005968570709e-02,1.558408886194229126e-02,5.700616538524627686e-02,1.697050631046295166e-01,1.537211835384368896e-01,6.369996070861816406e-02,1.348885335028171539e-02,2.431754022836685181e-02,6.113329902291297913e-03,7.255322299897670746e-03,8.672649972140789032e-03,2.749244682490825653e-02,2.762953564524650574e-02,2.443390153348445892e-02,4.508559033274650574e-02
3.915499448776245117e-01,8.058239705860614777e-03,6.145595572888851166e-03,3.260818310081958771e-03,6.193171720951795578e-03,2.550238184630870819e-02,1.054559573531150818e-01,1.183433979749679565e-01,1.452594399452209473e-01,8.151653409004211426e-02,5.885154008865356445e-03,1.091856509447097778e-02,1.061764266341924667e-02,7.914478890597820282e-03,8.995430544018745422e-03,2.659606188535690308e-02,3.778721019625663757e-02
2.900281846523284912e-01,5.722734145820140839e-03,3.784061176702380180e-03,3.316009184345602989e-03,3.986433148384094238e-03,1.950925588607788086e-02,4.467765986919403076e-02,1.885872483253479004e-01,1.880770027637481689e-01,1.395255923271179199e-01,1.649912446737289429e-02,1.294036395847797394e-02,1.390960626304149628e-02,1.358847506344318390e-02,2.215730398893356323e-02,1.370519399642944336e-02,1.998579502105712891e-02
2.349039018154144287e-01,1.081199012696743011e-02,2.219411078840494156e-03,1.675570383667945862e-03,3.530593123286962509e-03,1.165868155658245087e-02,6.486115604639053345e-02,1.245027035474777222e-01,2.012477368116378784e-01,1.278208494186401367e-01,5.213169753551483154e-02,1.518558897078037262e-02,2.691435441374778748e-02,3.766354918479919434e-02,5.138822644948959351e-02,1.406781189143657684e-02,1.941619813442230225e-02
3.867789506912231445e-01,2.465266035869717598e-03,2.661008154973387718e-03,3.212709678336977959e-03,1.537709496915340424e-03,5.702408961951732635e-03,5.839888006448745728e-03,1.231461577117443085e-02,3.361076861619949341e-02,6.441585719585418701e-02,1.624150872230529785e-01,1.891577541828155518e-01,4.480693861842155457e-02,1.166092883795499802e-02,4.558906704187393188e-02,1.307001896202564240e-02,1.476104371249675751e-02
3.167539238929748535e-01,4.413889721035957336e-03,1.882127835415303707e-03,3.835156559944152832e-03,1.805057167075574398e-03,8.982498198747634888e-03,1.358123868703842163e-02,1.588171720504760742e-02,2.813743427395820618e-02,6.174021214246749878e-02,1.787602752447128296e-01,1.471735090017318726e-01,8.838676661252975464e-02,1.843839697539806366e-02,7.924070954322814941e-02,1.704571023583412170e-02,1.394138019531965256e-02
3.801921308040618896e-01,1.611233130097389221e-02,6.701898761093616486e-03,2.470790874212980270e-03,6.766913458704948425e-03,6.223303731530904770e-03,1.462070271372795105e-02,1.423981785774230957e-02,1.638885773718357086e-02,2.655344083905220032e-02,2.101246081292629242e-02,8.074969053268432617e-02,1.824470162391662598e-01,1.329043507575988770e-01,5.506406724452972412e-02,1.915444806218147278e-02,1.839778572320938110e-02
3.142947554588317871e-01,1.246098615229129791e-02,2.150862710550427437e-03,3.427958115935325623e-03,1.244028657674789429e-02,6.839756853878498077e-03,2.800281159579753876e-02,4.622835665941238403e-03,7.393287494778633118e-03,2.201503328979015350e-02,1.074364781379699707e-02,3.816504403948783875e-02,9.318312257528305054e-02,1.516315490007400513e-01,1.912751644849777222e-01,5.691213905811309814e-02,4.444078356027603149e-02
2.651672661304473877e-01,8.578225038945674896e-03,2.077586948871612549e-03,3.066666191443800926e-03,6.223409902304410934e-03,1.558812614530324936e-02,3.443115949630737305e-02,6.738189607858657837e-03,1.022121123969554901e-02,2.212751656770706177e-02,2.206178754568099976e-02,4.919038712978363037e-02,5.132219940423965454e-02,1.657209396362304688e-01,1.909350156784057617e-01,1.018212139606475830e-01,4.472909495234489441e-02
4.672568738460540771e-01,4.988859873265028000e-03,2.474979031831026077e-03,1.741868676617741585e-03,1.967459917068481445e-03,4.852670244872570038e-03,1.715729758143424988e-02,5.236539058387279510e-03,4.204581025987863541e-03,8.176829665899276733e-03,8.993495255708694458e-03,2.062434516847133636e-02,2.502346597611904144e-02,3.213304653763771057e-02,9.826627373695373535e-02,2.099589407444000244e-01,8.694250881671905518e-02
3.822494745254516602e-01,2.752065658569335938e-02,2.644376363605260849e-03,2.991755260154604912e-03,5.748143419623374939e-03,7.683744188398122787e-03,4.332922399044036865e-02,1.443151757121086121e-02,6.321353837847709656e-03,1.585216075181961060e-02,8.505722507834434509e-03,2.772063761949539185e-02,2.579914033412933350e-02,6.455374509096145630e-02,1.321922242641448975e-01,9.605178236961364746e-02,1.364043802022933960e-01
