5.727720260620117188e-01,1.284282747656106949e-02,2.754289191216230392e-03,2.577221952378749847e-03,1.520085352240130305e-04,3.596246009692549706e-03,2.414128044620156288e-03,2.073170850053429604e-03,5.643877200782299042e-03,1.922356337308883667e-01,3.548017120920121670e-04,1.634853659197688103e-03,2.874598605558276176e-03,1.663318020291626453e-03,8.198281377553939819e-02,2.849245816469192505e-02,1.165477186441421509e-02,2.879335731267929077e-02,1.011474709957838058e-02,5.745045375078916550e-03,1.644778763875365257e-03,2.041976666077971458e-03,3.485606284812092781e-03,2.276368206366896629e-03,2.296276390552520752e-03,8.900552988052368164e-03,8.982281200587749481e-03
9.027004837989807129e-01,1.698018168099224567e-04,5.618239447358064353e-05,5.532102659344673157e-05,2.317116159247234464e-04,3.276058938354253769e-03,2.756109694018959999e-03,8.045466383919119835e-04,5.771838477812707424e-04,1.369966776110231876e-03,3.374275984242558479e-03,3.954723943024873734e-03,5.219484213739633560e-03,1.219917670823633671e-03,2.974399365484714508e-02,4.000217840075492859e-02,1.626214827410876751e-03,6.807431782362982631e-05,5.748785406467504799e-05,1.568214647704735398e-04,2.547406184021383524e-04,1.239925913978368044e-04,2.058568861684761941e-05,1.991401040868368000e-05,3.492905307211913168e-05,1.038419781252741814e-03,1.086938427761197090e-03
1.563938856124877930e-01,4.067164554726332426e-04,2.587735943961888552e-04,3.359797701705247164e-04,8.473845809930935502e-05,1.441829837858676910e-03,9.114170679822564125e-04,2.224399941042065620e-04,3.067236102651804686e-04,4.842376220040023327e-04,2.027987316250801086e-02,3.584805727005004883e-01,4.123620688915252686e-01,3.719809651374816895e-02,8.961665444076061249e-03,9.574957657605409622e-04,8.756468741921707988e-05,4.881525819655507803e-04,4.690765490522608161e-05,3.746336733456701040e-05,2.088750625262036920e-05,2.135989234375301749e-05,1.505827094661071897e-05,2.132966437784489244e-05,2.611152558529283851e-05,7.419182657031342387e-05,7.448376709362491965e-05
7.463179826736450195e-01,5.622146272799000144e-05,4.637154052034020424e-05,7.804400229360908270e-05,1.696849474683403969e-03,8.552554645575582981e-04,5.541886202991008759e-04,2.297904720762744546e-04,1.114385231630876660e-04,3.882493474520742893e-04,1.056629568338394165e-01,5.737740546464920044e-02,6.987583637237548828e-02,1.136745605617761612e-02,5.700223846361041069e-04,2.362289669690653682e-04,2.566804178059101105e-04,1.767726498655974865e-04,1.990541641134768724e-04,1.157270395196974277e-03,2.707558742258697748e-04,2.069737092824652791e-04,2.566665934864431620e-04,2.883951528929173946e-04,7.981115049915388227e-05,8.512386120855808258e-04,8.321162313222885132e-04
7.274667024612426758e-01,3.945508069591596723e-05,9.943119221134111285e-05,8.726835221750661731e-05,2.162602468160912395e-04,2.151463268091902137e-04,2.052697818726301193e-04,1.233110670000314713e-04,2.926154411397874355e-04,4.731143359094858170e-03,2.046365989372134209e-03,1.242203917354345322e-02,2.584511600434780121e-02,2.062594890594482422e-01,7.029427681118249893e-03,2.442038850858807564e-03,1.443226938135921955e-03,8.181686280295252800e-05,5.120759669807739556e-05,1.730527437757700682e-04,1.434648176655173302e-03,2.944582374766469002e-03,1.213412033393979073e-03,4.969490692019462585e-04,3.603557124733924866e-04,1.171314856037497520e-03,1.108338474296033382e-03
2.183714061975479126e-01,5.821544909849762917e-04,4.293539095669984818e-04,2.845321723725646734e-04,3.398842090973630548e-05,1.769290422089397907e-03,5.570317152887582779e-03,3.086673840880393982e-02,2.723453342914581299e-01,3.245955407619476318e-01,2.060723818431142718e-05,1.827512605814263225e-04,2.006037248065695167e-04,9.185941962641663849e-06,4.424501967150717974e-04,2.101897844113409519e-04,3.380864625796675682e-03,7.623983401572331786e-05,3.709624434122815728e-05,1.493471208959817886e-04,2.169652841985225677e-03,4.641389474272727966e-03,5.205687135457992554e-02,3.829570859670639038e-02,2.224131301045417786e-02,1.061098091304302216e-02,1.042614411562681198e-02
3.612644672393798828e-01,4.359985177870839834e-04,7.840470643714070320e-04,8.029767195694148540e-04,1.846563769504427910e-03,9.109341539442539215e-03,9.949520230293273926e-03,3.310889378190040588e-02,4.377196431159973145e-01,1.289903223514556885e-01,3.013654495589435101e-04,4.405613522976636887e-03,4.376679193228483200e-03,1.209546389873139560e-04,2.453395863994956017e-04,1.647340395720675588e-04,2.061860723188146949e-04,3.387012111488729715e-04,2.275829756399616599e-04,2.100349811371415854e-04,4.917109035886824131e-04,5.669198581017553806e-04,1.040443428792059422e-03,1.189567730762064457e-03,7.678299443796277046e-04,6.654663593508303165e-04,6.690489244647324085e-04
4.389207661151885986e-01,4.022210487164556980e-04,1.241826103068888187e-03,7.816817960701882839e-04,7.807578658685088158e-04,1.642448245547711849e-03,3.970354795455932617e-03,1.956918090581893921e-02,4.031023383140563965e-01,9.551878273487091064e-02,7.555466727353632450e-04,1.287532784044742584e-02,1.264941599220037460e-02,1.098869979614391923e-04,8.093725045910105109e-05,2.293810030096210539e-05,9.476013656239956617e-05,1.837117830291390419e-03,9.707732242532074451e-04,6.059147999621927738e-04,8.280665497295558453e-04,9.955152636393904686e-04,5.338038899935781956e-04,5.093946820124983788e-04,1.853675785241648555e-04,4.964077961631119251e-04,5.184898618608713150e-04
5.921491980552673340e-01,8.841122617013752460e-04,7.021210039965808392e-04,4.926149849779903889e-04,1.125241513364017010e-03,1.756004057824611664e-02,1.570762880146503448e-02,3.245593979954719543e-02,3.023208379745483398e-01,2.752498164772987366e-02,1.202551866299472749e-04,1.644110598135739565e-04,1.365246571367606521e-04,1.094405070034554228e-05,9.472664532950147986e-05,2.939527803391683847e-05,2.389387518633157015e-04,2.568586205597966909e-05,2.221090835519134998e-05,1.120869565056636930e-04,1.848501153290271759e-03,2.288566669449210167e-03,1.733393059112131596e-03,6.694247131235897541e-04,2.935338125098496675e-04,6.274130428209900856e-04,6.613351870328187943e-04
7.754713892936706543e-01,5.598716810345649719e-02,1.799475960433483124e-02,2.573960274457931519e-02,1.033919281326234341e-03,4.367873817682266235e-02,1.686231791973114014e-02,1.217979378998279572e-02,4.162119701504707336e-02,5.584157537668943405e-03,5.357769987313076854e-05,2.474711218383163214e-04,3.574789443518966436e-04,7.007101521594449878e-05,9.032360976561903954e-04,5.597975687123835087e-04,3.338078386150300503e-04,9.351382323075085878e-05,5.519636761164292693e-05,1.031407446134835482e-04,4.908694972982630134e-05,5.735185914090834558e-05,7.275796815520152450e-05,3.457808270468376577e-05,2.610528463264927268e-05,4.045055538881570101e-04,4.253243678249418736e-04
2.212225645780563354e-01,8.516526431776583195e-04,2.961243502795696259e-03,2.867242554202675819e-03,1.035229116678237915e-01,4.470828548073768616e-02,9.902203455567359924e-03,1.439245790243148804e-02,5.824837088584899902e-01,4.692090209573507309e-03,1.572224573465064168e-04,8.423938998021185398e-04,8.648158982396125793e-04,1.648536272114142776e-05,1.542117970529943705e-04,8.902940317057073116e-05,6.222539814189076424e-04,1.567533217894379050e-05,1.089415309252217412e-05,2.834537735907360911e-05,4.561012319754809141e-04,4.722905578091740608e-04,1.015739282593131065e-03,8.379462524317204952e-04,9.829089976847171783e-04,2.899853978306055069e-03,2.929480513557791710e-03
